time;ax;ay;az;aT
0,1020;-0,3026;-0,1234;0,4133;0,527
0,3040;-0,0098;-0,0770;-0,2378;0,250
0,5060;-0,0658;-0,1549;0,0792;0,186
0,7070;-0,0221;-0,0347;0,0347;0,054
0,9090;0,0005;-0,1810;-0,1193;0,217
1,1090;-0,1060;0,0279;0,0451;0,118
1,3110;-0,0041;-0,0561;-0,0342;0,066
1,5130;0,0047;0,0194;0,0265;0,033
1,7140;0,0341;-0,0682;0,0120;0,077
1,9220;-0,0106;-0,0286;-0,0333;0,045
2,1170;-0,0482;-0,0113;0,0386;0,063
2,3200;0,0201;-0,0183;0,0037;0,027
2,5210;0,0005;-0,0378;0,0029;0,038
2,7210;0,0151;-0,0377;-0,0118;0,042
2,9240;0,0041;-0,0174;0,0099;0,020
3,1250;0,0377;-0,0327;0,0370;0,062
3,4650;0,0147;-0,0042;0,0127;0,020
3,6680;-0,0244;0,0021;-0,0042;0,025
3,8680;0,0326;-0,0105;-0,0646;0,073
4,0700;-0,0084;0,0111;0,0218;0,026
4,2710;0,0125;-0,0052;0,0076;0,016
4,4730;-0,0143;-0,0023;0,0224;0,027
4,6810;0,0370;-0,0514;-0,0331;0,071
4,8840;-0,0156;0,0178;0,0522;0,057
5,0790;-0,0315;0,0039;-0,0484;0,058
5,2810;0,1056;-0,0454;-0,0331;0,120
5,4840;-0,0049;0,0425;0,0460;0,063
5,6830;-0,3978;0,2091;-0,0261;0,450
5,8850;-0,5917;0,4994;-0,0068;0,774
6,0860;0,1947;0,7540;0,0117;0,779
6,2860;1,3415;0,9787;-0,9735;1,925
6,4880;0,8349;1,4242;-0,1543;1,658
6,6890;0,0314;0,4496;1,2459;1,325
6,8900;-1,0444;-0,3724;-0,7004;1,312
7,0920;-0,3593;0,6365;-1,4948;1,664
7,2930;-0,1916;1,4306;0,5436;1,542
7,4940;-0,0272;-0,6773;1,4630;1,612
7,6960;0,1435;-0,9455;-2,1635;2,365
7,8970;-0,1346;0,4640;1,9537;2,013
8,0990;-0,5728;-0,4079;-0,4616;0,841
8,3010;-0,2531;0,5556;-1,7390;1,843
8,5020;0,5138;1,3083;2,6536;3,003
8,7040;-0,0993;-1,5303;-0,0253;1,534
8,9050;1,1396;-0,7054;-1,6219;2,104
9,1060;-0,1856;0,0249;1,9924;2,001
9,3070;-0,3794;-0,1477;-0,9487;1,032
9,5090;0,2221;0,3362;-1,0355;1,111
