time;ax;ay;az;aT
0,0570;-0,0560;0,0394;-0,0681;0,097
0,2610;-0,0361;0,1047;-0,1539;0,190
0,4680;-0,0553;0,1488;0,1039;0,190
0,6640;-0,0962;0,0727;-0,1785;0,215
0,8620;-0,0908;0,1869;0,0539;0,215
1,0630;0,0548;0,1069;-0,0266;0,123
1,2660;-0,0517;-0,0065;-0,0183;0,055
1,4660;0,0423;0,0506;-0,0254;0,071
1,6670;-0,0610;0,1171;-0,0469;0,140
1,8720;-0,0857;-0,0042;0,0423;0,096
2,0700;-0,0418;0,0197;-0,0566;0,073
2,2710;-0,0276;0,0108;0,0430;0,052
2,4730;0,1190;0,0743;-0,1549;0,209
2,6740;0,0588;0,0227;0,0874;0,108
2,8760;0,1109;-0,0218;-0,1197;0,165
3,0770;0,1035;0,0451;-0,0109;0,113
3,2830;0,0163;0,0208;-0,0176;0,032
3,4810;0,0396;0,0312;0,0019;0,050
3,6850;-0,0247;0,0070;-0,0127;0,029
3,8880;0,0073;0,0093;-0,0102;0,016
4,0840;0,0548;0,0144;-0,0541;0,078
4,2880;-0,0051;0,0427;0,0119;0,045
4,4880;0,0096;0,0267;0,0484;0,056
4,6890;-0,0024;0,0017;-0,1133;0,113
4,8910;-0,0409;0,0547;0,0640;0,094
5,0920;-0,0237;-0,0113;0,0206;0,033
5,2930;-0,0330;0,0185;-0,0359;0,052
5,4940;0,0860;0,0890;-0,0944;0,156
5,7020;0,5935;0,6935;0,0470;0,914
5,8970;0,2708;0,5737;-0,6025;0,875
6,1040;-0,0385;1,2136;0,3039;1,252
6,3010;-0,7722;0,9789;-0,8570;1,513
6,5020;-0,6209;1,1861;-2,1787;2,557
6,7050;-0,5600;3,3311;2,0042;3,928
6,9060;-0,4786;-0,3348;2,9034;2,962
7,1090;0,6777;-2,0394;-3,1948;3,850
7,3070;-1,4789;0,3757;1,0739;1,866
7,5120;0,3572;-0,6783;0,3988;0,864
7,7100;-0,5370;0,0292;-3,3740;3,417
7,9110;0,1462;2,0747;2,7995;3,488
8,1120;0,7436;-0,6188;0,8553;1,291
8,3130;-0,8435;-1,6474;-0,7642;2,002
8,5150;1,1761;-0,0756;1,1505;1,647
8,7170;0,0050;0,8695;-2,6861;2,823
8,9190;-0,5678;0,9334;2,5418;2,767
9,1260;0,3713;-1,8089;1,7222;2,525
9,3280;-0,2713;-2,0093;-1,9517;2,814
9,5280;1,4273;0,1505;0,2621;1,459
9,7280;-0,3094;-0,3896;-2,3458;2,398
