time;ax;ay;az;aT
0,0880;0,0798;0,2757;-0,2262;0,365
0,2900;-0,0882;0,0042;0,0357;0,095
0,4950;-0,0691;-0,0331;-0,0093;0,077
0,6940;0,0411;0,0099;0,0135;0,044
0,8960;0,0238;-0,0226;-0,0219;0,040
1,0960;0,0701;-0,0108;0,0045;0,071
1,2970;0,0203;-0,0122;-0,0320;0,040
1,4990;0,0145;-0,0082;0,0420;0,045
1,7000;0,0078;-0,0647;0,0298;0,072
1,9060;-0,0137;0,0244;-0,0646;0,070
2,1030;-0,0132;0,0164;0,0174;0,027
2,3040;-0,0172;-0,0054;-0,0032;0,018
2,5060;0,0009;0,0991;-0,0639;0,118
2,7070;0,0543;0,0443;0,0079;0,070
2,9090;0,1065;0,0775;-0,0582;0,144
3,1120;-0,0132;0,1046;-0,0406;0,113
3,3120;0,0371;-0,0330;0,0508;0,071
3,5140;0,0810;0,0040;-0,0777;0,112
3,7140;0,0365;-0,0449;0,0236;0,062
3,9160;0,0723;0,0289;-0,0523;0,094
4,1170;0,2982;0,0656;0,2463;0,392
4,3210;0,9178;0,9543;-0,5031;1,416
4,5210;1,4173;1,2226;0,0073;1,872
4,7220;-3,3677;1,1411;-1,7115;3,946
4,9250;-2,1658;1,5946;1,2346;2,959
5,1250;-0,0938;0,3723;1,7024;1,745
5,3260;2,3553;-1,3829;-0,6076;2,798
5,5270;-0,4316;0,5214;-1,6704;1,802
5,7290;-0,5880;0,1846;3,9064;3,955
5,9320;-0,1328;-2,2706;-3,5632;4,227
6,1320;-0,5860;0,3787;2,3362;2,438
6,3340;1,2592;-1,3201;-0,7735;1,982
6,5340;0,3785;-0,4131;-1,2581;1,377
6,7370;0,4216;0,6714;1,7224;1,896
6,9370;-0,7549;-1,1958;0,1089;1,418
7,1380;-0,5761;-0,8391;0,5858;1,174
7,3410;1,7453;-0,6574;1,9065;2,667
7,5420;1,0319;-0,3245;-2,5750;2,793
7,7420;0,8546;0,4139;-0,8201;1,255
7,9440;-1,3234;-0,8066;3,7214;4,031
8,1450;-1,8828;-0,2315;-3,3489;3,849
8,3470;1,0806;0,8685;2,3976;2,770
8,5490;2,3865;-1,8036;0,4043;3,019
8,7500;-0,8344;0,0817;-2,3140;2,461
8,9510;0,3418;0,9430;2,0874;2,316
9,1530;0,0363;-1,5739;0,7391;1,739
9,3540;-1,1248;-0,0695;-1,8186;2,139
9,5590;1,5603;-0,4658;2,5794;3,050
9,7580;1,4917;-0,3260;-2,2622;2,729
9,9600;-0,8312;0,2804;0,1141;0,885
10,1620;0,1893;0,2869;2,4320;2,456
10,3620;-1,2960;-0,4767;-3,3235;3,599
10,5630;0,7286;0,9172;3,2630;3,467
10,7640;2,1791;-0,8983;-1,3401;2,711
10,9660;-1,1257;-0,0429;-2,2535;2,519
11,1670;0,8219;0,8133;2,7920;3,022
11,3680;-0,1518;-0,7290;-0,0334;0,745
11,5790;-0,9086;0,4195;-0,8687;1,325
11,7820;0,4008;-0,3823;0,7871;0,962
11,9810;1,6423;-0,8718;-0,9840;2,104
12,1820;-0,5379;0,8220;-0,1562;0,995
12,3830;1,2615;-0,7355;2,5915;2,975
12,5790;-1,2117;0,1976;-3,0070;3,248
12,7790;-0,4733;0,6337;2,0103;2,160
12,9810;2,7940;-1,6415;0,3191;3,256
13,1800;-1,3415;-0,1397;-3,7894;4,022
13,3820;1,0661;1,4530;2,5892;3,155
13,5840;0,1966;-1,2598;0,4537;1,353
13,7850;-2,0696;1,0646;-0,9990;2,533
13,9870;1,7587;-2,3911;3,9324;4,927
14,1890;2,3387;-0,9343;-2,1162;3,289
14,3900;0,2971;0,7032;-1,2870;1,496
14,5910;0,6803;1,8369;2,4071;3,103
14,7930;-0,2347;-0,1659;-2,4838;2,500
14,9940;-1,5533;0,7865;2,8589;3,347
15,1960;2,4409;-2,3619;1,0543;3,556
15,3960;0,9284;-0,5182;-4,0536;4,191
15,5980;-0,5578;0,8916;2,4362;2,654
15,8000;-1,3453;-0,3257;0,0989;1,388
16,0010;-1,0558;0,5885;-0,0772;1,211
16,2020;1,5896;-1,8002;1,5349;2,850
16,4030;-0,1010;0,0535;-2,6784;2,681
16,6050;-0,2391;1,1269;0,6047;1,301
