time;ax;ay;az;aT
0,0640;-0,1569;-0,2881;0,7167;0,788
0,2660;0,0645;-0,2000;0,0102;0,210
0,4670;-0,1401;-0,3607;-0,0935;0,398
0,6690;-0,0463;-0,2660;0,0292;0,272
0,8710;-0,0480;-0,2625;0,0247;0,268
1,0730;-0,0451;-0,6546;-0,0320;0,657
1,2730;0,3206;-0,3278;-0,1938;0,498
1,4740;-0,1726;-0,2597;0,2427;0,395
1,6750;-0,0413;-0,1914;-0,1090;0,224
1,8780;-0,1606;-0,2744;0,2009;0,376
2,0780;-0,0143;-0,1611;0,0489;0,169
2,2800;0,0455;-0,1913;0,1895;0,273
2,4810;-0,1243;-0,2852;-0,0140;0,311
2,6830;-0,1154;-0,2535;-0,0151;0,279
2,8840;0,0063;-0,1649;-0,0839;0,185
3,0860;0,0411;-0,2096;0,1404;0,256
3,2870;-0,0345;-0,1364;0,0723;0,158
3,4880;-0,1349;-0,1701;-0,0508;0,223
3,6900;-0,0433;-0,1258;0,1013;0,167
3,8910;0,0281;-0,1454;0,0751;0,166
4,0930;0,0331;-0,0872;-0,0646;0,113
4,2940;0,0434;-0,1392;0,1693;0,223
4,4950;-0,0809;-0,0615;-0,0578;0,117
4,6980;-0,0535;-0,0851;0,0461;0,111
4,8980;0,0180;-0,0336;0,1321;0,137
5,0990;-0,0696;-0,0448;0,0952;0,126
5,3020;-0,0972;-0,1131;0,0278;0,152
5,5020;-0,0785;0,0224;0,0567;0,099
5,7040;-0,0388;-0,0250;0,1535;0,160
5,9050;-0,0104;-0,1539;0,0593;0,165
6,1070;0,0160;-0,0244;-0,0562;0,063
6,3080;0,0222;-0,1098;0,1242;0,167
6,5120;-0,0487;0,0085;-0,0669;0,083
6,7110;0,0395;-0,0794;0,0746;0,116
6,9130;0,0092;0,0207;-0,0896;0,092
7,1140;-0,0274;0,0553;-0,0307;0,069
7,3150;-0,0678;-0,0220;0,1059;0,128
7,5170;-0,4652;0,0872;-0,2021;0,515
7,7220;-0,0357;0,0434;-0,1321;0,144
7,9240;0,0808;0,0643;0,1991;0,224
8,1220;0,3438;-0,0445;-0,1950;0,398
8,3230;-0,0763;0,1938;-0,3297;0,390
