time;ax;ay;az;aT
0,1450;0,6373;-0,2314;0,2460;0,721
0,3470;-0,8411;-0,1273;-0,3744;0,929
0,5480;-0,1542;0,1433;-0,0735;0,223
0,7500;0,4450;-0,3162;0,2287;0,592
0,9730;-0,0486;-0,0643;-0,0193;0,083
1,1750;0,0362;-0,0442;-0,0279;0,064
1,3750;-0,0408;0,0673;0,2922;0,303
1,5770;0,1317;-0,2818;0,0156;0,311
1,7780;0,1531;-0,2464;0,0884;0,303
1,9800;-0,0239;0,0486;-0,0559;0,078
2,1810;0,0009;-0,0750;0,0335;0,082
2,3830;0,0465;-0,0112;-0,0300;0,056
2,5850;0,0090;0,0273;0,1114;0,115
2,7860;-0,1208;0,0258;0,0607;0,138
2,9870;0,1197;-0,0572;0,0357;0,137
3,1880;-0,0563;0,0151;-0,1315;0,144
3,3900;0,0573;-0,1425;-0,0416;0,159
3,5910;0,0858;-0,0523;0,1337;0,167
3,7930;0,0128;-0,0518;-0,0133;0,055
3,9950;0,0214;0,0200;0,0637;0,070
4,1960;0,0126;-0,0851;-0,0136;0,087
4,3970;0,0102;-0,0234;0,0872;0,091
4,6000;-0,0103;0,0527;-0,0228;0,058
4,8010;-0,0536;0,0273;0,0104;0,061
5,0020;-0,0647;-0,0690;-0,0555;0,110
5,2040;0,0239;0,0666;-0,0155;0,072
5,4050;-0,0129;0,0014;0,0136;0,019
5,6050;0,0011;0,0592;-0,0884;0,106
5,8070;0,0306;0,0046;0,0615;0,069
6,0080;-0,0042;-0,0205;0,0605;0,064
6,2100;-0,0178;-0,0701;-0,0988;0,122
6,4110;-0,0188;0,0189;-0,0057;0,027
6,6120;-0,0379;0,0250;0,0083;0,046
6,8150;0,0699;-0,0025;0,0879;0,112
7,0160;0,0405;0,4002;0,3258;0,518
7,2170;-0,5556;-0,0169;-0,0157;0,556
7,4180;-0,3266;-0,0817;-0,9346;0,993
7,6200;0,4211;2,5152;-0,4331;2,587
7,8210;2,0631;2,5274;-1,7039;3,681
8,0230;0,6051;2,5827;4,2790;5,035
8,2240;-0,3621;-2,2475;0,7284;2,390
8,4250;-2,1016;0,2093;-3,9069;4,441
8,6270;0,2981;0,9231;3,2347;3,377
8,8280;2,4188;0,8922;-1,9516;3,233
9,0300;0,3305;-4,3731;2,0247;4,830
9,2320;-0,3655;-0,7763;-1,4830;1,713
9,4320;0,5796;0,0463;0,0449;0,583
9,6340;0,7298;1,3925;0,1330;1,578
9,8360;0,7183;2,3756;-0,4393;2,520
10,0370;0,1136;1,7907;2,0130;2,697
10,2400;-1,8545;-1,6551;-0,5784;2,552
10,4410;0,5764;-2,9153;1,2255;3,214
10,6410;0,6512;-0,5034;-1,7060;1,894
10,8420;0,4504;-0,9235;0,1384;1,037
11,0440;0,5452;-0,0043;1,1305;1,255
11,2470;0,1340;1,7724;-1,9087;2,608
11,4470;-2,0414;2,4125;1,2865;3,412
11,6480;1,9954;1,5305;-0,5570;2,576
11,8510;0,7649;-0,8364;-0,0782;1,136
12,0510;1,4051;-1,7007;1,2473;2,534
12,2520;-1,1721;-1,3227;0,7896;1,936
12,4550;0,1193;0,4726;-0,8883;1,013
12,6560;-1,0468;3,7774;-0,9379;4,030
12,8580;1,2429;0,7515;1,6101;2,168
13,0580;1,4224;1,0479;0,1884;1,777
13,2600;-1,7876;-3,4444;1,5570;4,181
13,4610;-0,3842;-0,5036;-2,1958;2,285
13,6620;-0,6809;0,2844;-1,3974;1,580
13,8630;-1,0248;2,4768;2,5971;3,732
14,0650;1,7831;-0,7431;-1,4861;2,437
14,2660;1,1962;-1,8629;2,1557;3,090
14,4680;-0,3267;-0,4198;0,0139;0,532
14,6690;-1,3352;2,3017;1,3183;2,970
14,8700;1,1855;0,8691;-4,5406;4,773
15,0730;0,7064;-5,2485;5,2421;7,452
15,2740;0,4115;-0,1934;0,6027;0,755
15,4750;0,4293;-0,1891;-1,2106;1,298
15,6790;-0,0347;2,2663;-1,2613;2,594
15,8780;0,7782;1,9111;-2,1243;2,962
16,0790;0,0990;-1,7122;2,5452;3,069
16,2810;0,5008;-0,2492;0,8219;0,994
16,4820;-0,5428;0,5766;-1,1228;1,374
16,6840;0,2416;1,6743;-1,4792;2,247
16,8850;2,6562;1,8356;-0,0739;3,230
17,0860;-1,3573;-1,8325;2,2640;3,213
17,2880;0,1108;-1,5059;0,5105;1,594
17,4890;1,3153;0,1301;-1,4874;1,990
17,6900;0,9054;1,1045;0,1042;1,432
17,9020;-0,7976;3,2394;-0,7034;3,409
18,1030;0,6538;-3,9735;3,2724;5,189
18,3040;-0,1011;0,1103;-0,4837;0,506
18,5050;-0,1802;3,1687;-3,3792;4,636
18,7050;1,1455;1,5380;5,2632;5,602
18,9050;0,5700;-1,8069;-3,1005;3,634
19,1050;-1,8174;0,2346;0,8801;2,033
19,3050;-0,8601;0,9202;1,2392;1,767
19,5040;1,8119;2,6538;-1,7252;3,647
19,7050;0,9149;-3,2783;0,9963;3,546
19,9060;-1,6024;0,8746;0,8442;2,011
20,1070;-1,5680;0,1844;-2,9303;3,329
20,3090;-1,8500;0,0691;2,1063;2,804
20,5100;-0,6760;0,3726;1,1837;1,413
20,7110;0,5455;3,0455;-2,6718;4,088
20,9130;0,7780;-3,0224;1,9399;3,675
21,1250;-1,5723;-0,1506;-0,7314;1,741
21,3150;-0,4053;0,5328;1,5491;1,688
21,5180;-2,4166;2,0697;-4,0582;5,157
21,7190;0,2387;-2,5457;3,6651;4,469
21,9200;-0,7231;-0,3085;1,9423;2,095
22,1210;-2,3334;2,6335;-3,1555;4,726
22,3230;1,8632;1,3551;3,2198;3,959
22,5240;0,6519;0,9263;-1,5864;1,949
22,7260;-1,8707;-1,6850;1,9707;3,197
22,9270;0,2149;-0,3454;2,5811;2,613
23,1290;-2,0787;4,3509;-3,8215;6,153
23,3300;0,1500;-3,1916;0,8043;3,295
23,5310;-1,0595;0,1060;1,5284;1,863
23,7340;0,7616;2,7548;0,6288;2,927
23,9350;-1,1492;-2,0805;3,4133;4,159
24,1360;-1,1148;0,6762;0,9850;1,634
24,3370;-2,6878;-0,1274;-3,3893;4,328
24,5390;-0,4984;-1,3561;3,6342;3,911
24,7400;1,5324;2,6926;-2,0735;3,728
24,9420;-0,0066;-1,5338;3,6999;4,005
25,1430;-2,1733;-1,1225;0,1875;2,453
25,3450;-1,5455;1,5732;-1,6019;2,726
25,5450;-1,0402;-0,8144;2,5657;2,886
25,7470;1,5861;2,9544;-2,8643;4,410
25,9500;1,6817;-0,9027;2,1947;2,909
26,1510;-1,3846;0,2730;0,7401;1,594
26,3510;-2,4568;0,1158;-0,7640;2,575
26,5530;1,9463;1,9563;0,9817;2,929
26,7560;3,2078;0,4979;1,0882;3,424
26,9560;-4,8645;0,2592;-0,4566;4,893
27,1570;-1,1191;-1,9573;1,7771;2,871
27,3580;1,6874;2,0567;-1,8204;3,224
27,5600;1,4777;-0,8606;0,8678;1,918
27,7610;-2,8833;0,5788;-0,8160;3,052
27,9630;4,5609;-0,4892;1,4240;4,803
28,1640;-0,7193;0,7487;-0,8508;1,342
28,3650;0,2989;1,1486;1,9632;2,294
28,5670;-2,0303;-0,6742;-2,8300;3,548
28,7690;2,2572;-2,3233;3,0359;4,440
28,9700;2,5517;2,2210;-3,0770;4,573
29,1710;-0,0189;-4,1359;7,4415;8,514
29,3730;-2,1390;-0,9337;-4,8725;5,403
29,5740;-0,1570;-2,9362;3,9134;4,895
29,7750;-0,4201;-0,4772;-0,4919;0,804
29,9770;0,8864;-0,2596;-0,7212;1,172
30,1780;0,3812;0,2216;-0,3484;0,562
30,3810;0,1951;-0,1394;0,0996;0,260
30,5810;-0,0199;0,5097;-0,4238;0,663
30,7830;0,4070;0,2916;-0,1999;0,539
30,9850;0,0461;0,6471;-0,1617;0,669
31,1850;-0,0390;0,5384;-0,0500;0,542
31,3860;0,0854;0,4918;-0,3958;0,637
31,5880;0,2242;0,3086;-0,1179;0,399
31,7890;0,1464;0,3432;-0,1923;0,420
31,9910;-0,0803;0,3209;-0,3078;0,452
32,1920;0,3213;0,3877;-0,2676;0,570
32,3940;0,3192;-0,1984;0,0586;0,380
32,5950;0,2910;0,2564;-0,2162;0,444
32,7960;0,0693;0,3839;-0,1490;0,418
32,9980;0,1341;0,1515;-0,0357;0,205
33,1990;0,0854;0,2165;-0,1935;0,303
33,4010;0,0498;0,2918;0,0857;0,308
33,6030;-0,0046;0,1198;-0,1369;0,182
33,8030;0,0360;0,1559;-0,1575;0,225
34,0060;0,1437;0,1276;-0,1817;0,264
34,2120;0,0547;0,2686;-0,0115;0,274
34,4120;0,1790;0,1417;-0,0315;0,230
