time;ax;ay;az;aT
0,0610;0,4211;0,6258;-0,6197;0,976
0,2620;-0,4572;-1,0309;0,4339;1,208
0,4640;-0,7276;-0,9000;0,2678;1,188
0,6660;-0,4734;0,0623;-0,4739;0,673
0,8670;0,8714;0,1859;1,3008;1,577
1,0680;0,5773;-1,1855;-0,3267;1,358
1,2700;-0,6624;0,0431;-0,1287;0,676
1,4710;0,3165;0,0793;0,7770;0,843
1,6730;0,1366;0,3716;0,7494;0,848
1,8790;0,7184;0,6572;3,2291;3,373
2,0760;-1,8065;-2,3465;-1,8730;3,504
2,2780;1,1422;-0,0625;0,9984;1,518
2,4800;1,1665;-2,3684;-0,8523;2,774
2,6800;-0,6640;-2,2122;0,1420;2,314
2,8810;-0,7408;0,9794;-0,6103;1,371
3,0830;-0,1169;1,1588;-0,6152;1,317
3,2840;0,4121;1,3477;0,7328;1,588
3,4850;-0,2067;0,6104;0,2233;0,682
3,6870;-0,2468;0,1119;-0,0107;0,271
3,8880;-0,0844;0,1708;0,0497;0,197
4,0900;0,0461;-0,2073;-0,1608;0,266
4,2910;-0,1566;0,3247;-0,0679;0,367
4,4920;-0,1262;0,1999;0,1110;0,261
4,6970;-0,1140;0,2395;-0,0903;0,280
4,8960;-0,0315;0,0077;-0,3232;0,325
5,0970;0,3692;0,1794;0,0004;0,411
5,2980;0,5951;0,7144;-0,0865;0,934
5,4990;-0,3117;0,5031;-0,4632;0,752
5,7010;0,2738;0,5217;-0,2079;0,625
5,9020;-0,1058;-0,5737;-0,1043;0,593
6,1030;-1,0603;0,1764;0,1724;1,089
6,3100;0,1221;-0,0116;0,6841;0,695
6,5070;-3,8248;1,4792;-0,7541;4,170
6,7100;-1,3999;1,9174;0,1994;2,382
6,9110;1,6453;-0,7350;0,4317;1,853
7,1120;2,6944;-2,7376;2,3208;4,488
7,3130;-0,7262;-0,2484;-0,0283;0,768
7,5140;1,1790;-0,1446;-0,9755;1,537
7,7160;-1,4342;0,8413;-0,9649;1,922
7,9170;-2,2367;1,0734;0,1068;2,483
8,1190;0,0326;1,2528;2,3020;2,621
8,3200;2,5306;-2,3098;-0,0888;3,427
8,5200;1,3218;-2,1464;-0,7314;2,625
8,7220;-1,1545;0,4818;-0,5529;1,368
8,9240;-1,7740;1,6773;0,8366;2,581
9,1270;-2,9170;1,3714;-0,1374;3,226
9,3270;2,9715;-2,1267;2,4493;4,399
9,5280;1,8076;-1,3002;0,1839;2,234
9,7300;-1,7486;0,3953;-0,2349;1,808
9,9310;-0,2366;0,4684;-0,5012;0,726
10,1320;0,3353;0,1517;-1,0230;1,087
10,3340;-2,1071;1,2707;0,3998;2,493
10,5400;-2,1154;2,2660;0,4318;3,130
10,7440;1,3376;-0,1676;3,6481;3,889
10,9380;0,3535;-2,1286;-0,1779;2,165
11,1400;0,3797;-1,2013;-1,8151;2,210
11,3410;-0,8673;0,8598;-1,7790;2,158
11,5420;-0,8049;2,2132;-0,1652;2,361
11,7440;-2,8209;4,0343;1,8618;5,263
11,9450;1,8318;-2,7971;0,1668;3,348
12,1460;2,0395;-2,6524;0,1427;3,349
12,3470;-1,1649;0,0313;-0,1669;1,177
12,5490;-0,0674;0,1490;-0,6044;0,626
12,7600;-1,5167;1,3420;-0,2595;2,042
12,9600;-1,4575;2,0093;1,0911;2,711
13,1600;1,6998;-2,1920;1,8972;3,361
13,3620;0,8083;-1,1518;-1,6922;2,201
13,5620;-0,3223;0,3001;-0,8508;0,958
13,7640;-1,8115;2,0798;1,1190;2,976
13,9620;-2,3578;2,2465;1,7931;3,718
14,1630;0,0972;-1,4286;-1,8098;2,308
14,3650;3,6438;-2,8402;2,0590;5,058
14,5630;-1,5271;0,5720;-0,9598;1,892
14,7650;0,5299;0,3252;0,3638;0,720
14,9670;-0,3293;0,3267;-2,0491;2,101
15,1670;-2,7509;3,6731;1,0787;4,714
15,3830;1,0399;-2,8238;2,3374;3,810
15,5710;0,9889;-1,8858;-1,9252;2,871
15,7810;-0,7058;0,7289;-0,7593;1,267
15,9850;-2,5824;2,7857;1,7140;4,167
16,1840;-2,2290;1,3345;-0,4032;2,629
16,3850;3,9612;-3,9092;0,6913;5,608
16,5770;-0,0581;0,2333;-0,5148;0,568
16,7790;0,7148;0,0530;-0,7990;1,073
16,9800;-2,2042;1,4418;-0,7062;2,727
17,1820;-1,4585;2,7500;1,9280;3,662
17,3840;2,7709;-2,5621;1,3977;4,024
17,5850;0,6427;-1,0834;-2,2141;2,547
17,7860;-2,8576;1,8937;0,1721;3,432
17,9880;-2,4796;1,5144;0,2635;2,917
18,1900;4,2505;-1,8263;1,9543;5,022
18,3900;0,8292;-0,6963;-0,7231;1,302
18,5920;-0,4825;-0,6120;-2,4879;2,607
18,7930;-2,1127;2,2922;0,9875;3,270
18,9950;-0,3514;0,7928;3,5588;3,663
19,1960;1,8131;-1,8331;-1,5294;2,998
19,3970;-2,2180;1,1054;-1,1086;2,715
19,5990;-0,8205;1,8755;3,3806;3,952
19,8000;3,2809;-4,1262;-1,7113;5,542
20,0020;1,8541;-0,9907;-1,0134;2,334
20,2030;-2,7288;0,8648;-0,6549;2,937
20,4050;-3,1553;2,8637;2,3480;4,865
20,6060;1,8000;-1,0753;3,5290;4,105
20,8070;-1,6893;0,1953;1,2195;2,093
21,0090;0,2084;-3,9187;-4,4137;5,906
21,2100;5,7918;-2,9794;1,9776;6,807
21,4110;-3,4102;1,6858;1,2340;3,999
21,6130;-4,5539;2,2080;1,1313;5,186
21,8140;1,5396;-0,8820;4,8894;5,201
22,0170;-0,7274;-0,5381;-0,1724;0,921
22,2170;0,3409;-3,5187;-3,7591;5,160
22,4200;6,0321;-3,3687;0,2193;6,913
22,6200;-4,4535;1,2583;2,6717;5,344
22,8210;-4,2315;2,6085;4,0244;6,396
23,0230;2,0049;-0,2532;4,1566;4,622
23,2260;1,3037;-4,3128;0,5651;4,541
23,4260;0,7283;-6,9921;-8,8493;11,302
23,6280;7,6200;-0,0538;10,0730;12,631
23,8300;-8,7902;4,4933;-0,5599;9,888
24,0300;-1,8035;0,9540;7,6845;7,951
24,2310;3,4421;-7,9823;1,2443;8,781
24,4340;0,3105;-8,2249;-10,3301;13,208
24,6340;-0,7728;3,1391;7,2345;7,924
24,8360;-7,4676;4,1112;0,6149;8,547
25,0370;7,8474;-8,1260;6,7788;13,174
25,2380;1,3073;-5,5717;-11,1477;12,531
25,4400;3,7389;-1,6504;10,0317;10,832
25,6410;-8,1859;5,3475;-2,9174;10,204
25,8430;4,6126;-2,5980;10,4382;11,704
26,0450;1,0057;-9,1386;-11,2206;14,506
26,2460;6,8568;-3,1967;8,5379;11,407
26,4470;-7,9696;5,5645;1,4345;9,825
26,6490;-0,8371;-2,1239;9,9929;10,250
26,8510;2,6346;-9,2574;-10,3480;14,132
27,0530;6,7610;-1,7499;6,8437;9,778
27,2530;-9,0262;6,4373;0,6217;11,104
27,4560;1,2469;-3,7179;8,3221;9,200
27,6560;2,4817;-6,7961;-12,6681;14,589
27,8570;3,1829;-0,1124;6,8150;7,523
28,0580;-8,6869;2,9345;-0,2408;9,172
28,2600;8,5472;-5,9948;1,6578;10,571
28,4620;3,8949;-0,9115;-0,1523;4,003
28,6630;-1,0850;1,3279;-2,8078;3,290
28,8640;-1,9238;0,3098;2,8939;3,489
29,0660;1,5876;0,6401;-1,3791;2,198
29,2670;0,7566;-0,2354;-0,9140;1,210
29,4710;-0,9505;-2,5469;3,1921;4,193
29,6700;0,3998;-3,0381;0,0832;3,065
29,8710;-1,4109;-0,4864;0,5450;1,589
