Movimento Uniformemente Variado (MU),,,,,,,
Cronômetros Pareados,,,,,,,
Lucas 1,Ponto,10m,20m,30m,,,
,Crono 1,6,"6,06","6,06",,,
,Crono 2,"6,05","6,6","6,61",,,
,Media,"6,025","6,33","6,335",,,
Lucas 2,Ponto,10m,20m,30m,,,
,Crono 1,"5,5",6,"5,9",,,
,Crono 2,"5,59","5,89","6,03",,,
,Media,"5,545","5,945","5,965",,,
Ricardo 1,Ponto,10m,20m,30m,,,
,Crono 1,5,5,"5,3",,,
,Crono 2,"5,05","5,08","5,27",,,
,Media,"5,025","5,04","5,285",,,
Ricardo 2,Ponto,10m,20m,30m,,,
,Crono 1,"5,9","5,4","5,6",,,
,Crono 2,"5,64","5,45","5,27",,,
,Media,"5,025","5,04","5,285",,,
Kaique 1,Ponto,10m,20m,30m,,,
,Crono 1,5,"5,5","5,4",,,
,Crono 2,"5,18","5,34","5,53",,,
,Media,"5,09","5,42","5,465",,,
Kaique 2,Ponto,10m,20m,30m,,,
,Crono 1,5,"5,4","5,4",,,
,Crono 2,"5,19","5,33","5,41",,,
,Media,"5,095","5,365","5,405",,,
Cronômetros Intercalados,,,,,,,
Lucas,Ponto,5m,10m,15m,20m,25m,30m
,Tempo,"2,3","2,55","2,93","2,8","2,77","2,72"
Ricardo,Ponto,5m,10m,15m,20m,25m,30m
,Tempo,"3,03","2,79","2,71","2,65","2,75","2,76"
Kaique,Ponto,5m,10m,15m,20m,25m,30m
,Tempo,"3,1","2,72","2,78","2,58","2,82","2,69"
