Movimento Uniformemente Variado (MUV),,,,,,,
Cronômetros Pareados,,,,,,,
Victor 1,Ponto,10m,20m,30m,,,
,Crono 1,"11,53","6,41","3,59",,,
,Crono 2,"11,67","6,01","3,73",,,
,Media,"11,6","6,21","3,66",,,
Victor 2,Ponto,10m,20m,30m,,,
,Crono 1,"11,03","6,76","4,14",,,
,Crono 2,"10,81","6,88","4,25",,,
,Media,"10,92","6,82","4,195",,,
Yurick 1,Ponto,10m,20m,30m,,,
,Crono 1,"9,94","6,46","4,29",,,
,Crono 2,"11,41","6,7","4,06",,,
,Media,"10,675","6,58","4,175",,,
Yurick 2,Ponto,10m,20m,30m,,,
,Crono 1,"11,52","6,93","3,15",,,
,Crono 2,"11,23","6,99","3,73",,,
,Media,"11,375","6,96","3,44",,,
Kaique 1,Ponto,10m,20m,30m,,,
,Crono 1,"11,6","5,68","3,15",,,
,Crono 2,"11,76","5,8","2,65",,,
,Media,"11,68","5,74","2,9",,,
Kaique 2,Ponto,10m,20m,30m,,,
,Crono 1,"10,64","5,04","3,02",,,
,Crono 2,"10,68","5,12","2,94",,,
,Media,"10,66","5,08","2,98",,,
Cronômetros Intercalados,,,,,,,
Victor,Ponto,0m a 5m,5m a 10m,10m a 15m,15m a 20m,20m a 25m,25m a 30m
,Tempo,"5,51","5,33","3,64","2,36","2,28","1,86"
Yurick,Ponto,0m a 5m,5m a 10m,10m a 15m,15m a 20m,20m a 25m,25m a 30m
,Tempo,"6,14","5,09",4,"2,71","2,3","0,99"
Kaique,Ponto,0m a 5m,5m a 10m,10m a 15m,15m a 20m,20m a 25m,25m a 30m
,Tempo,"6,43","5,96","3,99","2,64","2,12","1,68"
,,,,,,,
Victor,Ponto,0m a 5m,0m a 10m,5m a 15m,10m a 20m,15m a 25m,20m a 30m
,Tempo,"5,51","10,84","8,97",6,"4,64","4,14"
Yurick,Ponto,0m a 5m,0m a 10m,5m a 15m,10m a 20m,15m a 25m,20m a 30m
,Tempo,"6,14","11,23","9,09","6,71","5,01","3,29"
Kaique,Ponto,0m a 5m,0m a 10m,5m a 15m,10m a 20m,15m a 25m,20m a 30m
,Tempo,"6,43","12,39","9,95","6,63","4,76","3,8"
