Movimento Uniformemente Variado (MU),,,,,,,
Cronômetros Pareados,,,,,,,
Lucas 1,Ponto,10m,20m,30m,,,
,Crono 1,6,"6,06","6,06",,,
,Crono 2,"6,05","6,6","6,61",,,
,Media,"6,025","6,33","6,335",,,
Lucas 2,Ponto,10m,20m,30m,,,
,Crono 1,"5,5",6,"5,9",,,
,Crono 2,"5,59","5,89","6,03",,,
,Media,"5,545","5,945","5,965",,,
Ricardo 1,Ponto,10m,20m,30m,,,
,Crono 1,5,5,"5,3",,,
,Crono 2,"5,05","5,08","5,27",,,
,Media,"5,025","5,04","5,285",,,
Ricardo 2,Ponto,10m,20m,30m,,,
,Crono 1,"5,9","5,4","5,6",,,
,Crono 2,"5,64","5,45","5,27",,,
,Media,"5,025","5,04","5,285",,,
Kaique 1,Ponto,10m,20m,30m,,,
,Crono 1,5,"5,5","5,4",,,
,Crono 2,"5,18","5,34","5,53",,,
,Media,"5,09","5,42","5,465",,,
Kaique 2,Ponto,10m,20m,30m,,,
,Crono 1,5,"5,4","5,4",,,
,Crono 2,"5,19","5,33","5,41",,,
,Media,"5,095","5,365","5,405",,,
Cronômetros Intercalados,,,,,,,
Lucas,Ponto,5m,10m,15m,20m,25m,30m
,Tempo,"2,49","4,9","4,36","5,47","4,5","5,76"
Ricardo,Ponto,5m,10m,15m,20m,25m,30m
,Tempo,"3,03","5,82","5,5","5,36","5,4","5,51"
Kaique,Ponto,5m,10m,15m,20m,25m,30m
,Tempo,"3,1","5,82","5,5","5,36","5,4","5,51"
