time;ax;ay;az;aT
0,1240;-0,9408;0,0984;0,1404;0,956
0,3260;0,3673;0,2191;0,1137;0,443
0,5270;-0,2002;-0,0320;0,0659;0,213
0,7290;-0,0501;0,0620;-0,0049;0,080
0,9380;-0,1525;0,0442;0,0095;0,159
1,1400;-0,1381;0,0264;0,0110;0,141
1,3380;-0,0456;0,0325;-0,0018;0,056
1,5390;-0,0602;0,0400;-0,0185;0,075
1,7390;-0,0433;0,0123;0,0284;0,053
1,9400;0,0217;0,0293;0,0002;0,036
2,1400;-0,0539;0,0230;-0,0082;0,059
2,3400;-0,0078;-0,0096;0,0127;0,018
2,5410;-0,0324;0,0165;-0,0151;0,039
2,7420;0,0245;0,0068;-0,0211;0,033
2,9440;-0,0187;0,0258;0,0194;0,037
3,1450;-0,0091;0,0235;0,0271;0,037
3,3470;0,0209;-0,0063;-0,0485;0,053
3,5490;0,0335;0,0167;0,0527;0,065
3,7510;-0,0943;0,0336;-0,0485;0,111
3,9520;-0,0258;0,0366;-0,0158;0,047
4,1540;0,0082;0,0334;0,0139;0,037
4,3540;-0,0069;0,0160;-0,0585;0,061
4,5560;0,0077;0,0602;-0,0190;0,064
4,7570;-0,2064;0,2227;-0,0769;0,313
4,9590;-0,0043;0,6442;0,0888;0,650
5,1600;0,1810;2,6119;0,0680;2,619
5,3620;0,2762;0,7050;0,7258;1,049
5,5640;1,0557;2,9158;-0,8953;3,228
5,7640;-1,6800;-1,1898;2,8282;3,498
5,9660;0,4435;-0,7158;-0,3185;0,900
6,1670;-0,0315;-0,4028;-1,6112;1,661
6,3690;0,0142;-0,0150;1,8251;1,825
6,5720;0,6784;-1,2901;-0,3031;1,489
6,7710;-0,4300;-0,0469;-1,5576;1,617
6,9730;-0,7988;0,8383;2,5761;2,824
7,1740;1,9157;0,1213;-1,3291;2,335
7,3750;-1,0658;-0,2758;0,2287;1,124
7,5770;1,1656;-0,0699;0,7255;1,375
7,7790;-0,1723;-0,5312;-1,8001;1,885
7,9800;-0,4082;0,3272;1,8488;1,921
8,1810;0,6905;-0,7965;-0,3439;1,109
8,3820;0,2225;0,0942;0,0441;0,246
8,5840;1,2686;-0,2395;1,2794;1,818
8,7850;0,1597;-0,0610;-1,5854;1,595
8,9870;-1,0513;0,7917;1,7427;2,184
9,1880;0,1596;-0,3713;-0,5898;0,715
9,3890;0,1670;-0,2183;0,9251;0,965
9,5910;2,0314;-0,1308;0,0847;2,037
9,7930;-0,3672;-0,5290;-1,5691;1,696
9,9930;-0,6314;0,3574;1,1926;1,396
10,1950;-0,2730;-0,2333;-0,2145;0,418
10,3960;0,2638;-0,8336;0,8125;1,194
10,5990;0,1896;-0,7021;0,4637;0,862
