time;ax;ay;az;aT
0,1480;-0,3435;0,3781;-0,1643;0,537
0,3510;0,1498;0,4160;-0,0197;0,443
0,5440;-0,0839;0,1342;-0,0396;0,163
0,7450;0,2115;0,3045;-0,0713;0,378
0,9460;-0,1272;-0,0646;0,1244;0,189
1,1510;-0,0662;0,1269;-0,0470;0,151
1,3510;-0,0597;0,0555;0,0063;0,082
1,5510;0,0685;0,2921;-0,1274;0,326
1,7510;-0,5071;0,1484;0,4015;0,664
1,9600;-0,7072;-1,4698;0,3704;1,673
2,1550;1,2278;0,7841;-0,6973;1,615
2,3570;-0,5186;-0,1914;0,1356;0,569
2,5570;0,1819;0,0117;0,2204;0,286
2,7600;0,0705;-0,0147;0,0200;0,075
2,9600;-0,0828;0,0257;0,0603;0,106
3,1620;-0,0970;-0,0317;0,0656;0,121
3,3650;-0,0283;0,0723;0,0010;0,078
3,5650;-0,0260;-0,0044;0,0461;0,053
3,7660;-0,0185;0,0224;-0,0035;0,029
3,9670;-0,0454;-0,0006;-0,0179;0,049
4,1690;0,0086;0,0300;0,0199;0,037
4,3710;-0,0432;-0,0233;0,0226;0,054
4,5720;-0,0183;0,0478;-0,0101;0,052
4,7730;-0,0354;0,0336;-0,0399;0,063
4,9760;-0,0261;0,0484;-0,0273;0,061
5,1760;0,0210;0,0818;0,0201;0,087
5,3770;-0,0644;0,1124;-0,0577;0,142
5,5790;-0,2529;0,7110;-0,4360;0,872
5,7800;-0,4281;0,9497;0,2882;1,081
5,9900;0,4595;1,3983;-0,9284;1,740
6,1910;0,7149;1,7259;-0,3416;1,899
6,3900;-0,0816;1,1355;1,6269;1,986
6,5910;-0,2288;-0,7194;0,0231;0,755
6,7900;-0,3938;-0,6089;-1,6601;1,812
6,9910;0,2197;0,5801;0,9426;1,128
7,1940;0,4086;0,2872;-0,2938;0,579
7,3920;0,1053;-0,2703;-1,4491;1,478
7,5950;-0,1019;0,5236;2,4172;2,475
7,7960;-0,1880;-0,3906;-0,1621;0,463
7,9970;-0,6302;-0,6378;-1,5834;1,820
8,1980;0,3784;0,2092;2,1916;2,234
8,3990;0,0986;-1,0909;-0,7028;1,301
8,6000;0,6803;0,2042;-1,2623;1,448
8,8010;-0,9208;0,4387;1,6320;1,925
9,0020;-0,0710;-0,3781;-1,2346;1,293
9,2040;-0,3884;0,6657;0,1420;0,784
9,4060;0,1588;-0,7025;1,5069;1,670
9,6060;-0,3776;-0,4628;-1,4737;1,590
9,8080;0,3589;1,2823;1,2489;1,826
10,0090;-0,1834;-0,5019;0,2421;0,587
10,2110;-0,1706;0,1632;-1,1709;1,194
10,4120;1,1004;0,2715;0,7281;1,347
10,6140;0,0091;-0,8093;-0,9938;1,282
