time;ax;ay;az;aT
0,0510;-0,0740;0,0375;0,3590;0,368
0,2430;0,0786;0,1035;-0,2341;0,268
0,4450;0,0422;0,0691;-0,0194;0,083
0,6460;0,0082;-0,0351;0,0310;0,048
0,8470;0,0230;-0,0140;-0,0791;0,084
1,0480;0,0342;0,0011;0,0056;0,035
1,2520;-0,1272;0,0945;-0,0348;0,162
1,4530;0,3767;-0,1540;-0,1646;0,439
1,6540;-0,0639;-0,0799;0,2589;0,278
1,8540;0,0254;-0,0543;-0,1186;0,133
2,0560;0,0472;0,0122;-0,0418;0,064
2,2580;0,0664;-0,0549;0,0134;0,087
2,4590;0,0833;0,0019;-0,0503;0,097
2,6620;0,0448;-0,0310;-0,0232;0,059
2,8610;0,0573;-0,0273;0,0369;0,073
3,0650;-0,0161;-0,0556;-0,0103;0,059
3,2690;0,0295;-0,0034;-0,0088;0,031
3,4660;-0,0289;-0,0222;0,0054;0,037
3,6780;0,0448;-0,0315;0,0027;0,055
3,8770;-0,0058;-0,0008;-0,0130;0,014
4,0780;-0,0031;-0,0079;0,0163;0,018
4,2810;0,0367;0,0022;0,0010;0,037
4,4800;0,0387;-0,0155;-0,0630;0,076
4,6810;-0,0251;0,0052;0,0268;0,037
4,8760;-0,1230;0,1425;-0,0420;0,193
5,0790;0,0638;-0,0587;0,1215;0,149
5,2780;-0,8387;0,5873;-0,0610;1,026
5,4790;0,2947;0,3183;-0,1357;0,455
5,6810;0,5996;1,0604;-0,5208;1,325
5,8830;0,9368;1,2920;-0,3543;1,635
6,0840;1,0398;1,2706;0,0029;1,642
6,2860;-1,0762;-0,3603;1,7376;2,075
6,4890;-0,3132;-0,0017;-1,8447;1,871
6,6910;0,0319;1,3687;-0,8003;1,586
6,8920;0,2084;0,0664;2,9676;2,976
7,0930;-0,4565;-0,8975;-2,1955;2,415
7,2930;1,0215;0,5615;-0,5023;1,269
7,4960;-1,1046;-0,0659;2,3553;2,602
7,6970;-1,0607;-0,9702;-2,0111;2,472
7,8990;0,1591;0,7571;0,5477;0,948
8,1000;0,7429;-0,2504;1,7482;1,916
8,2990;-0,0532;-1,1925;-2,3566;2,642
