time;ax;ay;az;aT
0,0390;-0,1366;0,1229;0,0709;0,197
0,2410;0,0064;-0,0164;-0,1323;0,133
0,4450;-0,1150;0,0814;-0,0572;0,152
0,6460;-0,0878;0,0491;0,0325;0,106
0,8460;0,2808;0,0787;-0,0791;0,302
1,0460;-0,1422;0,0482;-0,0428;0,156
1,2490;-0,0204;0,0722;0,0103;0,076
1,4510;0,1133;0,0602;-0,0422;0,135
1,6520;-0,0398;0,0774;-0,0351;0,094
1,8520;-0,0149;0,0461;-0,0173;0,051
2,0530;-0,0179;0,0610;-0,0280;0,069
2,2560;0,0045;0,0359;-0,0003;0,036
2,4570;0,0160;0,0238;0,0101;0,030
2,6580;0,0053;0,0110;-0,0138;0,018
2,8590;-0,0028;0,0222;0,0052;0,023
3,0610;0,0205;0,0071;0,0030;0,022
3,2630;-0,0061;-0,0181;-0,0125;0,023
3,4670;-0,0348;0,0011;0,0150;0,038
3,6650;0,0039;0,0284;-0,0409;0,050
3,8660;-0,0297;0,0444;0,0018;0,053
4,0670;-0,0178;0,0053;0,0023;0,019
4,2690;0,0040;0,0373;-0,0297;0,048
4,4700;-0,0006;0,0510;-0,0112;0,052
4,6710;0,0133;-0,0023;0,0452;0,047
4,8730;-0,0353;0,0539;-0,0139;0,066
5,0750;-0,2453;0,3804;-0,1468;0,476
5,2760;-1,2790;0,5416;0,1420;1,396
5,4780;0,5004;0,6298;-0,9664;1,257
5,6790;1,5153;1,7327;0,1073;2,304
5,8800;0,4983;1,7485;-0,9737;2,062
6,0820;0,0626;1,9085;2,1473;2,874
6,2860;-0,2043;-1,0049;0,4907;1,137
6,4850;0,7864;0,2320;-2,6228;2,748
6,6860;-1,1054;2,3628;2,6291;3,704
6,8880;0,0584;-1,4595;2,5361;2,927
7,0890;0,9716;-2,6687;-3,7876;4,734
7,2920;-1,5832;-0,0547;0,8696;1,807
7,4940;-0,5602;0,7719;-0,6765;1,169
7,6940;3,4251;1,5834;0,9634;3,894
7,8980;-1,7996;-0,9788;7,1441;7,432
8,0970;-1,2412;-4,6736;-4,4031;6,540
8,2980;0,6990;-1,5987;-3,6668;4,061
8,4990;-1,7399;1,5949;3,6820;4,374
8,7010;2,2291;2,9205;-0,6601;3,733
8,9020;-0,4190;1,0781;4,9947;5,127
9,1030;-3,0061;-2,3803;-1,2039;4,019
9,3060;-0,0085;-1,0442;-2,0963;2,342
9,5060;0,3808;0,0486;0,8611;0,943
9,7080;1,0428;2,1915;-3,8469;4,548
9,9100;0,1695;0,7206;6,3231;6,366
10,1100;-0,2998;-1,5667;-2,4256;2,903
10,3130;0,5320;0,2998;-3,2512;3,308
10,5140;-0,6549;0,4646;2,9403;3,048
10,7160;1,0801;-0,0764;-1,1997;1,616
10,9160;0,2080;1,7034;2,4601;2,999
11,1180;-0,1744;-2,0494;1,6012;2,607
11,3190;-0,0577;-0,2065;-6,6806;6,684
11,5200;-2,0639;0,1542;5,8212;6,178
11,7210;2,0562;0,0948;-2,3359;3,113
11,9230;1,1161;2,6385;0,7019;2,950
12,1350;-1,0278;-1,6327;3,1515;3,695
12,3350;0,6446;-1,3260;-4,9976;5,211
12,5360;-1,2195;1,1364;3,8236;4,171
12,7340;-0,3918;-0,5433;-1,5722;1,709
12,9350;2,5004;2,2108;-0,7812;3,428
13,1360;-1,5622;0,5332;5,0181;5,283
13,3380;-0,7669;-1,8595;-3,7280;4,236
13,5360;0,9983;2,0427;-3,0058;3,769
13,7360;-2,0482;-0,0413;3,8353;4,348
13,9370;2,8457;1,1274;-3,0152;4,297
