time;ax;ay;az;aT
0,0290;0,2891;-0,0769;0,5414;0,619
0,2340;0,1635;0,0833;-0,1285;0,224
0,4320;0,0609;-0,1765;0,1082;0,216
0,6330;0,2092;-0,1071;-0,4982;0,551
0,8350;0,1063;0,1914;0,2524;0,334
1,0370;-0,2345;0,0746;-0,1114;0,270
1,2380;-0,1301;-0,0012;-0,0473;0,138
1,4390;0,0031;0,0848;-0,0637;0,106
1,6400;0,3856;-0,0733;-0,0014;0,392
1,8420;0,0393;-0,0883;0,0279;0,101
2,0480;0,0283;0,0565;-0,0990;0,117
2,2450;0,0669;0,1398;-0,0730;0,171
2,4470;-0,9355;0,9649;0,3832;1,398
2,6490;-0,6122;-1,4256;0,3322;1,587
2,8500;0,2713;-0,9953;-0,1586;1,044
3,0500;1,3308;0,2093;-0,4528;1,421
3,2520;0,3048;-0,1496;0,1239;0,361
3,4540;-0,1666;0,4563;-0,0008;0,486
3,6560;0,3463;0,0317;0,1403;0,375
3,8570;-0,1788;0,0079;0,0867;0,199
4,0570;0,1718;-0,0002;-0,0429;0,177
4,2580;0,1215;0,0790;-0,1314;0,196
4,4600;0,1546;0,0840;-0,0124;0,176
4,6630;0,0317;0,1938;-0,0503;0,203
4,8640;0,1218;0,0827;-0,0001;0,147
5,0660;-0,0430;0,3168;-0,0690;0,327
5,2680;0,6220;-0,0306;-0,1248;0,635
5,4700;0,2676;-0,1072;-0,1263;0,315
5,6690;-0,3820;0,3600;0,2014;0,562
5,8710;-0,0595;1,2227;-0,6207;1,373
6,0720;1,7890;1,5712;0,2920;2,399
6,2760;0,5792;1,4365;-1,3558;2,058
6,4760;0,1449;1,7841;-0,7434;1,938
6,6770;-1,9142;-0,9511;4,4241;4,913
6,8780;1,0960;-1,2078;-2,7636;3,209
7,0790;0,5705;0,7617;-0,0067;0,952
7,2810;-1,3691;0,0137;2,1440;2,544
7,4830;0,4430;-1,5929;-4,2892;4,597
7,6840;-1,4087;0,6435;-0,0906;1,551
7,8850;0,2729;-0,7565;3,3462;3,442
8,0860;3,1368;1,9847;-2,2984;4,366
8,2870;-2,4571;0,3026;5,5035;6,035
8,4880;-0,6683;-2,3224;-1,6621;2,933
8,6900;1,5561;-2,6847;-2,7883;4,172
8,8920;-1,1563;-1,5294;2,6044;3,234
9,0930;-0,2982;1,1159;-0,9976;1,526
9,2940;1,6480;3,1900;-1,6105;3,935
9,4960;-0,9283;-2,3459;8,1858;8,566
9,6980;0,3828;-4,2157;-3,6490;5,589
9,8990;1,0568;-0,0086;-4,6782;4,796
10,1000;-2,6510;0,1291;6,0153;6,575
10,3020;0,2551;1,2040;-4,8531;5,007
10,5030;1,9350;3,1331;1,0319;3,824
10,7040;-0,3522;-2,4148;5,6601;6,164
10,9060;-0,6410;-4,5670;-3,4552;5,763
11,1070;0,6652;-0,6492;-3,5044;3,626
11,3080;-1,1603;1,6828;5,1039;5,498
11,5100;2,9660;2,1632;-1,7550;4,069
11,7110;0,3385;2,2739;4,1121;4,711
11,9130;-2,1104;-5,7338;5,6914;8,350
12,1150;0,4828;-5,8983;-5,4332;8,034
12,3160;-0,7913;0,2351;-0,9397;1,251
