time;ax;ay;az;aT
0,1070;-0,6699;0,3970;-0,5835;0,973
0,3000;-0,5670;0,3753;-0,3277;0,755
0,5110;0,3227;0,1179;0,4471;0,564
0,7060;0,2114;0,0274;-0,0269;0,215
0,9100;-0,2817;0,0180;-0,0476;0,286
1,1100;-0,0697;0,2970;-0,2315;0,383
1,3090;0,1224;0,2590;-0,0665;0,294
1,5080;-0,0464;0,1133;-0,0315;0,126
1,7110;0,0138;0,1299;-0,0048;0,131
1,9110;0,0103;0,0784;0,0406;0,089
2,1130;0,0039;0,0328;-0,0098;0,035
2,3140;0,0241;0,0598;-0,0691;0,094
2,5160;-0,0077;0,0736;-0,0141;0,075
2,7310;0,0432;0,0502;0,0212;0,070
2,9300;-0,0371;0,0140;0,0007;0,040
3,1290;-0,0468;-0,0041;0,0094;0,048
3,3340;0,0073;-0,0145;-0,0390;0,042
3,5230;-0,0014;0,0139;-0,0109;0,018
3,7240;-0,0260;0,0413;-0,0195;0,053
3,9260;-0,0378;0,0169;0,0177;0,045
4,1270;-0,0078;0,0183;-0,0318;0,038
4,3280;0,0109;0,0412;0,0079;0,043
4,5300;0,0077;0,0123;-0,0140;0,020
4,7320;-0,0447;-0,0070;0,0116;0,047
4,9350;0,0189;0,0388;-0,0507;0,067
5,1340;-0,0006;0,0733;0,0575;0,093
5,3360;0,0335;-0,0532;0,0148;0,065
5,5370;0,0631;-0,0536;-0,0380;0,091
5,7390;-0,0819;0,0330;0,0044;0,088
5,9400;-0,0117;0,0034;-0,0053;0,013
6,1410;-0,1305;0,0599;-0,0602;0,156
6,3430;-0,3922;0,5155;-0,1841;0,673
6,5440;-0,5465;0,8543;-0,6716;1,216
6,7450;-0,4915;0,9313;-0,5711;1,198
6,9470;-0,1475;1,5218;-1,2508;1,975
7,1480;-0,3298;2,9550;0,5421;3,022
7,3500;-0,6857;1,8209;1,6088;2,525
7,5510;1,2720;-0,0526;-0,3520;1,321
7,7530;-1,4939;0,1549;-0,4424;1,566
7,9550;1,2938;-1,9599;2,0063;3,089
8,1550;-0,5960;-0,4950;-1,1289;1,369
8,3570;-0,3803;0,3269;-0,2287;0,551
8,5580;1,0481;-0,9664;1,9591;2,423
8,7600;-1,4025;-1,3069;-0,9571;2,143
8,9630;-1,2946;0,6799;0,1104;1,466
9,1640;3,7139;-0,3953;1,2687;3,944
9,3640;-0,9452;-0,6999;-2,5211;2,782
9,5660;-0,8298;1,1031;-0,0550;1,382
9,7670;1,3457;0,3714;1,4334;2,001
9,9680;0,3139;-1,3967;0,0875;1,434
10,1700;-1,8738;-0,4527;-0,6279;2,027
10,3710;-0,4247;1,6347;0,6528;1,811
10,5740;2,7532;-1,3304;0,0267;3,058
10,7740;-1,4000;-0,3554;-2,0109;2,476
10,9750;-0,3329;1,6533;0,8468;1,887
11,1780;1,4235;-0,3200;1,1865;1,881
11,3790;-0,3093;-1,5758;-0,6267;1,724
11,5800;-1,5282;0,3992;-0,0973;1,582
11,7810;1,2399;0,9574;-0,1322;1,572
11,9820;1,0227;-1,2713;-0,3285;1,664
12,1850;-2,1518;0,3680;-2,0163;2,972
12,3850;0,4145;1,6405;0,7653;1,857
12,5870;1,4600;-1,0732;2,0735;2,754
12,7880;-0,7740;-0,7792;-1,8111;2,118
12,9890;-1,2284;0,8112;1,2272;1,916
13,1910;1,6960;-1,0928;1,6059;2,579
13,3930;-0,8475;-0,4001;-2,6272;2,789
13,5940;-1,4816;1,5071;-0,8111;2,264
13,7950;2,3434;0,7579;2,5202;3,524
13,9970;0,0401;-0,8590;-0,9050;1,248
14,2000;-1,7383;-0,4930;-1,0258;2,078
14,4000;-0,1925;1,9173;0,7364;2,063
14,6010;2,2846;-1,7568;0,4215;2,913
14,8020;-0,9113;0,1703;-2,4537;2,623
15,0040;-0,0943;1,8433;1,2430;2,225
15,2060;0,4778;-1,1885;1,6948;2,124
15,4070;-1,3345;-0,8345;-2,2563;2,751
15,6080;-1,2168;1,7187;2,2918;3,112
15,8090;2,4606;-1,2937;0,3420;2,801
16,0110;-0,9107;0,0247;-2,7013;2,851
16,2120;-1,1682;0,8994;-0,6249;1,601
16,4150;2,7752;0,9355;2,9353;4,146
16,6150;-0,5659;-1,2793;-1,0074;1,724
16,8160;-1,9578;-0,4762;-1,4793;2,500
17,0180;-0,5656;2,3295;1,0101;2,601
17,2220;2,2659;-1,8982;0,6298;3,022
17,4210;-1,3121;0,0644;-2,2900;2,640
17,6220;-1,0042;1,8886;0,7496;2,267
17,8270;2,2902;-1,0431;2,5877;3,610
18,0250;-0,4826;-1,2688;-2,2542;2,631
18,2260;-1,4152;1,1880;1,0148;2,108
18,4280;2,0193;-0,5780;1,4840;2,572
18,6310;1,5190;-0,6943;-2,0918;2,677
18,8310;-0,7051;0,7052;-1,2914;1,632
19,0320;-0,6681;0,8863;2,5813;2,810
19,2340;0,0226;-1,4451;0,2887;1,474
19,4350;-0,8483;-1,1249;-2,3087;2,705
19,6360;-1,1897;1,9853;1,1857;2,601
19,8380;1,3221;-0,4283;1,5459;2,079
20,0390;-1,2458;-0,6455;-2,3015;2,695
20,2410;-1,4570;1,5351;-0,7449;2,244
20,4420;0,6796;0,6580;3,5501;3,674
20,6440;-0,7597;-1,6453;-1,3723;2,273
20,8450;-1,5359;0,5010;0,1217;1,620
21,0460;0,8466;1,5076;-0,2903;1,753
21,2480;1,3156;-1,5253;0,5065;2,077
21,4480;-1,1959;0,4257;-2,0631;2,422
21,6500;-0,4799;1,1901;3,1790;3,428
21,8580;-0,1885;-1,2661;-0,3246;1,321
22,0610;-1,5664;-1,1350;-2,1714;2,908
22,2630;-1,0401;2,6540;0,6753;2,929
22,4600;2,5228;-0,9529;1,9624;3,335
22,6630;-1,9179;-0,6834;-2,1851;2,987
22,8630;-0,1088;1,4224;0,0029;1,427
23,0630;1,2943;-0,4877;1,7626;2,241
23,2640;-0,9650;-0,8660;-1,7298;2,162
23,4640;-1,3509;1,4043;0,8588;2,129
23,6650;1,5040;-0,1871;1,5933;2,199
23,8660;0,3013;-0,4813;-2,1269;2,201
24,0670;-1,4619;0,8200;-1,0813;1,995
24,2690;0,1831;1,2654;2,5267;2,832
24,4710;1,3807;-0,4277;-1,1971;1,877
24,6720;-0,8787;0,3133;-1,8317;2,056
24,8850;-0,9569;2,2781;1,3452;2,813
25,0900;1,7204;-2,1163;1,5124;3,119
25,2840;-1,3602;0,2131;-2,7571;3,082
25,4850;-0,4246;1,6832;0,2261;1,751
25,6860;1,5872;-0,1219;2,3195;2,813
25,8800;-0,8764;-0,7637;-2,0776;2,381
26,0810;-2,0910;1,0406;0,0306;2,336
26,2820;1,4530;-0,7881;3,6775;4,032
26,4840;0,9927;-1,9233;-1,5423;2,658
26,6850;-0,1403;-0,2368;-1,1380;1,171
26,8860;-0,5141;0,6293;-0,6409;1,035
27,0880;0,8123;1,0162;0,9360;1,603
27,2890;-0,1764;-1,2113;0,6430;1,383
27,4910;0,8530;-1,2236;-0,5285;1,582
27,6930;0,1434;-0,3252;-0,5015;0,615
27,8940;0,2207;-0,0379;0,4280;0,483
28,0950;0,1887;0,4174;-0,1483;0,481
28,2970;-0,0680;0,5754;-0,0422;0,581
28,4980;-0,3820;0,4894;-0,0595;0,624
28,7010;-0,5148;0,2629;0,0686;0,582
28,9010;-0,1652;0,3144;-0,1376;0,381
29,1030;-0,1928;0,3093;-0,1979;0,415
29,3050;-0,2546;0,2607;0,0721;0,371
29,5070;-0,1934;0,2106;-0,0209;0,287
29,7070;-0,3649;0,1688;-0,1146;0,418
29,9080;-0,3783;0,2073;0,0558;0,435
30,1100;-0,3735;0,2696;-0,1023;0,472
30,3110;-0,2498;0,2560;-0,0667;0,364
30,5120;-0,1506;0,2656;-0,1392;0,336
30,7140;-0,2378;0,3117;-0,0963;0,404
30,9150;-0,1385;0,2590;-0,0997;0,310
31,1170;-0,1380;0,1325;0,0072;0,191
31,3180;-0,1073;0,1112;0,0171;0,155
31,5190;-0,1047;0,0903;-0,0103;0,139
31,7210;-0,0409;0,0073;-0,0268;0,049
31,9220;-0,0904;0,0681;-0,0195;0,115
32,1240;-0,0579;0,0173;0,0008;0,060
32,3250;0,1061;-0,0516;0,0789;0,142
