time;ax;ay;az;aT
0,0040;0,2787;0,4566;-0,0895;0,542
0,2000;-0,4768;0,1684;0,3267;0,602
0,4020;0,2160;-0,1038;0,1917;0,307
0,6030;0,4448;-0,1616;0,1317;0,491
0,8050;0,2607;0,0990;-0,0847;0,292
1,0060;0,3090;0,0099;0,1505;0,344
1,2070;0,3973;0,0685;0,0198;0,404
1,4090;0,2057;-0,0590;0,0151;0,214
1,6100;0,4462;0,2522;0,0516;0,515
1,8110;0,4381;-0,1740;0,1232;0,487
2,0130;0,4171;0,1980;-0,0942;0,471
2,2160;0,3650;-0,1494;0,2899;0,490
2,4170;0,3588;-0,1464;-0,0610;0,392
2,6170;0,4964;0,2877;-0,0533;0,576
2,8210;-0,2475;0,1881;-0,1925;0,366
3,0220;-0,4595;0,1659;0,6189;0,788
3,2220;-0,2210;0,0493;-0,1014;0,248
3,4230;0,1405;0,6383;-0,6350;0,911
3,6260;1,4274;2,3515;-0,3051;2,768
3,8260;-1,6442;0,0625;-0,2262;1,661
4,0270;-4,2376;0,9410;-1,3547;4,547
4,2290;1,3647;3,6346;3,0810;4,956
4,4300;0,0369;-1,3218;0,9650;1,637
4,6320;-0,1470;-3,4370;1,8019;3,883
4,8330;1,3333;-1,8174;-2,5100;3,374
5,0340;-0,0580;1,0954;-0,1068;1,102
5,2350;-0,7130;0,4412;1,2504;1,506
5,4370;2,2268;-0,5671;0,2252;2,309
5,6390;-0,3921;-2,2518;1,4760;2,721
5,8400;3,6246;0,2210;-0,1443;3,634
6,0410;1,0605;-0,2411;-1,8015;2,104
6,2430;-1,6544;-0,0753;1,5000;2,234
6,4440;-1,1223;0,1474;0,9522;1,479
6,6460;1,2998;0,3467;-0,1540;1,354
6,8490;2,0228;-0,8047;1,1980;2,485
7,0490;-2,4593;-2,3319;0,4458;3,418
7,2500;-1,5994;2,0644;0,5212;2,663
7,4520;2,3718;1,0335;0,2228;2,597
7,6530;-2,5439;-1,9234;-1,3359;3,458
7,8540;1,6393;0,6316;1,6306;2,397
8,0550;0,8878;-1,2595;-2,0791;2,588
8,2570;-0,6643;1,3556;0,1258;1,515
8,4580;-0,1946;1,5877;2,0090;2,568
8,6600;-1,2339;-1,9156;-0,7973;2,414
8,8620;0,6576;1,2927;1,3119;1,956
9,0670;1,8229;-0,6874;-0,3807;1,985
9,2660;-2,4212;-0,3118;-1,4279;2,828
9,4660;1,9172;2,0090;2,9068;4,020
9,6680;-1,4791;-2,0384;-1,9246;3,170
9,8680;0,2056;1,3841;2,3380;2,725
10,0700;1,4059;-0,9411;-1,4155;2,206
10,2710;-2,2049;-0,4524;-1,3871;2,644
10,4730;0,6864;3,0561;1,8808;3,653
10,6750;0,2873;-0,7344;-0,3554;0,865
10,8760;-1,4525;0,1717;0,9071;1,721
11,0770;-0,4848;-0,7618;0,0886;0,907
11,2790;1,3225;-1,1214;-0,8445;1,929
11,4800;-0,6576;1,9500;-0,3509;2,088
11,6810;1,2922;1,3347;1,9064;2,662
11,8820;-1,4055;-1,8489;-0,5022;2,376
12,0880;0,4098;-0,1109;0,6843;0,805
12,2850;1,1602;-0,0136;-1,7665;2,113
12,4860;-0,4148;-0,3946;-0,9450;1,105
12,6880;0,4779;1,5429;0,4771;1,684
12,8890;-0,0875;-0,2791;1,4632;1,492
13,0910;-2,3584;0,9983;1,9376;3,211
13,2930;1,3390;-1,1929;-0,6049;1,893
13,5000;-0,3563;-1,1340;-1,2970;1,759
13,6980;0,4333;1,6474;-0,0544;1,704
13,8980;1,2057;0,3356;1,5120;1,963
14,0990;-2,5500;-2,1691;-1,8200;3,811
14,2990;0,8883;0,9567;1,6224;2,082
14,5010;0,2683;-0,4581;0,0242;0,531
14,7020;-1,1879;-0,1504;-1,7013;2,080
14,9040;1,0183;2,0122;3,1454;3,870
15,1050;-2,5937;-2,5816;-2,3163;4,331
15,3060;1,2858;1,6043;4,2478;4,719
15,5080;1,5928;-2,0500;-1,6998;3,103
15,7190;-1,5687;-0,3525;-1,4636;2,174
15,9200;0,7305;2,2019;0,9503;2,507
16,1200;0,2237;-0,1337;0,1417;0,297
16,3210;-0,6593;-0,0532;1,7287;1,851
16,5210;0,6441;-0,9329;-0,6987;1,332
16,7230;0,2002;-0,9994;-0,7649;1,274
16,9220;-1,5686;-0,2696;0,4253;1,647
17,1210;2,4034;1,7765;1,9110;3,547
17,3210;-2,2997;-2,4917;-1,0459;3,548
17,5230;0,5345;0,4762;1,1685;1,370
17,7240;2,2147;0,1547;-1,1088;2,482
17,9270;-1,2176;-0,8307;-1,8150;2,338
18,1260;2,1037;1,7670;3,7111;4,617
18,3270;-0,8187;-3,0168;-2,5308;4,022
18,5300;-0,1305;3,0490;3,3524;4,533
18,7310;1,6218;-2,5393;1,9758;3,603
18,9320;-0,3238;-3,8706;-4,1195;5,662
19,1340;2,0841;3,7773;1,3007;4,506
19,3350;-1,2878;0,0147;1,0835;1,683
19,5360;-1,1647;-3,3287;-1,2988;3,758
19,7380;0,6345;3,4743;-0,4950;3,566
19,9390;0,6449;-0,3743;3,2098;3,295
20,1410;-1,3405;-2,6136;-2,2649;3,709
20,3420;0,5035;1,1001;0,6364;1,367
20,5440;0,7457;1,4089;2,3085;2,805
20,7460;-2,5833;-3,1667;-1,3621;4,308
20,9480;-0,2835;1,5425;1,0065;1,864
21,1490;3,3151;-1,4132;3,9457;5,344
21,3500;1,0141;1,4229;-7,7898;7,983
21,5510;-2,8805;1,2861;4,6624;5,629
21,7520;-1,4319;-0,7053;-0,3584;1,636
21,9530;-1,6823;-3,0506;0,9478;3,610
22,1540;1,7782;-0,6110;-0,4904;1,943
22,3560;-1,0152;0,8947;0,1895;1,366
22,5580;-0,9481;-1,0173;-1,2170;1,848
22,7580;-0,0424;-0,2784;0,4395;0,522
22,9610;0,6761;-2,0458;3,4026;4,027
23,1610;-1,6598;-2,0754;-1,5506;3,077
23,3630;-0,0567;1,1113;1,7534;2,077
23,5650;0,8246;0,1508;-0,7459;1,122
23,7660;0,2118;0,0974;-0,3603;0,429
23,9670;0,1401;-0,0394;0,7666;0,780
24,1690;0,3336;-0,0571;-0,3650;0,498
24,3700;0,2885;0,0573;-0,3502;0,457
24,5720;0,3913;0,0296;-0,3245;0,509
24,7730;-0,2019;-0,3595;0,0893;0,422
24,9760;0,3851;0,0065;-0,2215;0,444
25,1760;0,1803;-0,2279;-0,1844;0,344
25,3770;0,3719;0,1448;-0,6230;0,740
25,5780;0,2388;-0,0727;-0,4974;0,557
25,7800;0,3627;-0,0323;-0,5363;0,648
25,9810;0,6870;0,1400;-1,1556;1,352
26,1830;0,2628;0,1527;-0,1922;0,360
26,3870;0,2969;-0,0334;-0,3153;0,434
26,5850;1,0157;0,3600;-0,7022;1,286
26,7870;0,3267;-0,2566;-0,0387;0,417
26,9880;0,3045;-0,3654;-0,2893;0,557
27,1900;0,5994;-0,3118;-0,3562;0,764
27,3960;0,1733;0,1158;-0,3136;0,377
27,5940;0,3399;-0,0592;-0,5618;0,659
27,7940;-0,2434;0,7311;0,0335;0,771
27,9950;-0,3216;0,6773;-0,0801;0,754
28,1970;0,2168;0,2305;-0,2370;0,395
28,3990;0,5215;-0,2768;1,1936;1,332
28,6010;-0,3968;-0,4314;-0,1023;0,595
28,8020;-0,8680;0,4139;0,8628;1,292
29,0080;-0,9421;-0,0441;1,6341;1,887
29,2040;-0,3581;-0,2594;0,1883;0,481
29,4060;0,9506;-0,7599;-0,5460;1,334
29,6070;-0,8010;0,1803;-0,8769;1,201
29,8140;0,0153;0,1994;0,1519;0,251
30,0120;-0,1027;1,5031;0,9502;1,781
30,2120;1,1023;-2,0023;1,9414;2,999
30,4160;0,4002;-1,7696;-1,7844;2,545
30,6140;1,4652;0,5376;1,1753;1,954
30,8160;1,3001;-1,9479;-0,1489;2,347
31,0170;1,3147;-0,6789;-1,6434;2,211
31,2190;0,5775;0,6589;-0,5482;1,034
31,4200;-0,1752;1,0105;1,9139;2,171
31,6210;-0,5941;-1,3231;0,3148;1,484
31,8230;0,0709;-0,3504;-1,4134;1,458
32,0240;-0,1781;0,7214;0,6314;0,975
32,2250;-0,1853;-0,4910;0,9085;1,049
32,4320;0,5954;-0,6601;-0,1882;0,909
32,6280;0,0612;-0,5605;-0,5577;0,793
32,8300;-0,6739;-1,1211;0,8832;1,578
33,0310;-0,0591;-1,0299;0,0328;1,032
33,2330;-0,0288;-0,7772;0,0456;0,779
33,4340;0,1548;-0,3406;0,1876;0,418
33,6350;-0,0715;-0,1740;0,0665;0,200
33,8370;-0,1284;-0,1540;0,2683;0,335
34,0380;0,0468;-0,1088;-0,0655;0,135
34,2440;-0,0671;-0,0368;0,0103;0,077
34,4410;-0,1775;0,0244;-0,1075;0,209
34,6420;-0,1047;-0,1625;0,0939;0,215
34,8440;-0,0452;-0,0635;0,0840;0,115
