time;ax;ay;az;aT
0,0580;-0,3058;0,4341;-0,1667;0,557
0,2590;-0,0237;-0,0298;-0,0279;0,047
0,4610;-0,0417;0,0800;0,1702;0,193
0,6630;-0,0556;0,1718;0,1357;0,226
0,8640;0,0435;0,2259;0,0792;0,243
1,0650;0,0655;0,0574;0,1244;0,152
1,2680;-0,0028;0,1104;0,0900;0,142
1,4690;-0,1454;0,0027;0,0113;0,146
1,6720;0,1189;0,0808;-0,0998;0,175
1,8710;-0,1484;0,1040;0,0133;0,182
2,0720;0,5587;0,6139;-0,3432;0,898
2,2740;-0,9130;0,2080;0,0564;0,938
2,4750;0,0610;-0,2717;0,1266;0,306
2,6760;0,5326;-0,5675;-0,3009;0,834
2,8780;-0,4469;-0,1378;0,0605;0,472
3,0790;-0,0997;-0,1501;0,1933;0,264
3,2810;-0,2143;-0,1772;0,0046;0,278
3,4820;-0,1259;-0,1405;0,1103;0,219
3,6830;-0,0409;-0,0558;-0,1109;0,131
3,8840;-0,1637;-0,0490;0,3019;0,347
4,0870;-0,1273;-0,0434;0,0442;0,142
4,2880;-0,1928;-0,1207;0,0825;0,242
4,4900;-0,1559;-0,1091;0,0230;0,192
4,6920;-0,0968;-0,0083;-0,0014;0,097
4,8920;0,0449;-0,0480;0,1215;0,138
5,0930;-0,1145;-0,0437;0,0282;0,126
5,2950;0,0106;0,0115;0,1100;0,111
5,4960;-0,2705;-0,2751;-0,0977;0,398
5,6990;-0,1256;-0,0388;-0,0840;0,156
5,9000;-0,0506;0,0249;-0,0044;0,057
6,1010;0,0163;-0,0358;-0,0371;0,054
6,3020;-0,0825;0,0566;-0,1115;0,150
6,5040;-0,0204;0,0475;0,1498;0,158
6,7050;0,1859;-0,0385;-0,0895;0,210
6,9070;0,1320;-0,0439;0,0932;0,168
7,1070;-0,0028;0,2146;-0,1550;0,265
7,3090;-0,5202;0,2292;0,2236;0,611
7,5110;-0,1430;-0,0009;0,1161;0,184
7,7120;-0,1668;-0,0213;-0,3018;0,345
7,9140;-0,0679;0,1151;-0,2267;0,263
8,1160;-0,0602;0,3917;-0,3580;0,534
8,3170;0,1579;1,9322;-0,0032;1,939
8,5190;-0,2320;1,6101;-0,3921;1,673
8,7200;0,3231;0,8210;1,0041;1,337
8,9210;-0,3798;-1,9286;1,3496;2,384
9,1220;-0,1993;-2,2823;-0,1116;2,294
9,3230;-0,6826;-0,7148;-0,9880;1,397
9,5250;0,1084;-0,3045;0,7914;0,855
9,7260;0,1724;0,9570;-0,4861;1,087
9,9270;-0,2587;0,9168;-0,4242;1,043
10,1290;-1,0573;1,5261;1,9044;2,660
10,3310;0,6633;-2,1608;0,4658;2,308
10,5320;0,2462;-1,8564;-0,6922;1,996
10,7340;-0,1832;-0,8914;-0,2087;0,934
10,9350;-0,2326;-0,1734;0,2490;0,382
11,1370;0,0102;1,2010;-1,1878;1,689
11,3380;-0,6861;1,8929;0,9262;2,216
11,5390;0,8832;-0,3547;1,3221;1,629
11,7410;-0,2593;-2,2851;-0,3496;2,326
11,6730;-0,5755;-1,0695;-0,3012;1,251
11,8740;-0,0358;0,2421;-0,2273;0,334
