time;ax;ay;az;aT
0,0250;0,0924;0,0867;0,2641;0,293
0,2270;0,6896;0,1471;-0,2855;0,761
0,4290;-0,2402;0,0052;0,1461;0,281
0,6300;-0,1899;0,2214;-0,5105;0,588
0,8310;0,0675;0,0174;0,0012;0,070
1,0320;-0,0140;0,0175;0,0371;0,043
1,2330;0,0223;-0,0180;0,1374;0,140
1,4350;-0,0685;0,0891;0,0023;0,112
1,6360;0,0297;-0,0593;-0,0121;0,067
1,8380;-0,0016;-0,0010;0,0416;0,042
2,0400;-0,0447;0,0577;-0,0019;0,073
2,2400;-0,0129;-0,0094;0,0239;0,029
2,4420;0,0519;-0,0961;-0,0171;0,111
2,6430;-0,0294;0,0802;0,0634;0,106
2,8450;0,0500;-0,0898;-0,0219;0,105
3,0460;0,0133;-0,0726;-0,0544;0,092
3,2480;0,0085;-0,0425;-0,0131;0,045
3,4500;0,0002;-0,0073;0,0407;0,041
3,6510;0,0306;0,0586;0,0158;0,068
3,8520;-0,0645;0,0363;-0,0280;0,079
4,0540;-0,0573;-0,0003;-0,0225;0,062
4,2550;0,0872;0,0389;-0,0052;0,096
4,4560;-0,0849;0,0627;0,0453;0,115
4,6580;0,0443;-0,0508;-0,0394;0,078
4,8590;-0,0929;0,0394;-0,0409;0,109
5,0600;0,0586;-0,0711;-0,0273;0,096
5,2620;0,0944;0,0412;0,1026;0,145
5,4670;0,0156;-0,1593;-0,0947;0,186
5,6650;-0,0475;0,0971;0,1202;0,162
5,8660;0,0610;-0,0519;-0,1228;0,147
6,0680;-0,1598;-0,0196;-0,0773;0,179
6,2690;-0,4005;0,4495;-0,1565;0,622
6,4700;0,2053;0,9585;-0,4772;1,090
6,6720;0,2017;1,0362;-0,8206;1,337
6,8740;1,9037;4,9790;2,9471;6,091
7,0740;0,4698;0,0840;1,5793;1,650
7,2790;-2,8565;-4,3240;-0,0522;5,183
7,4780;-0,1754;0,7101;-1,9075;2,043
7,6790;0,6335;-0,5260;-0,0796;0,827
7,8800;-0,6022;-3,0628;1,3452;3,399
8,0820;-0,7739;-0,8385;-0,0321;1,142
8,2830;-0,4971;0,5183;0,5903;0,930
8,4940;-0,7206;-0,3261;0,0286;0,791
8,6910;0,0079;-0,2632;-0,0605;0,270
8,8910;-0,0923;2,3680;0,6163;2,449
9,0950;0,4232;1,7057;-1,1467;2,098
9,2940;0,5642;0,1102;-0,3579;0,677
9,4950;-2,6012;-3,9567;1,1728;4,878
9,6960;-0,1123;-0,2275;-0,9095;0,944
9,8960;0,5143;0,1778;-0,4134;0,683
10,0970;-0,4989;1,0308;-1,6765;2,030
10,2990;-1,3393;1,7267;4,2204;4,753
10,5000;2,4933;3,0001;-3,1013;4,983
10,7000;-1,3081;-1,7387;0,4057;2,213
10,9010;0,3105;0,3180;-0,9548;1,053
11,1020;0,8457;0,6958;-0,2638;1,126
11,3040;1,9463;2,6010;1,1922;3,460
11,5170;0,4825;3,4525;-0,0198;3,486
11,7170;0,5697;-3,6065;0,4314;3,677
11,9190;0,9034;-0,6149;0,1620;1,105
12,1090;0,4467;-0,3421;-1,4809;1,584
12,3110;-0,5172;1,7650;-1,5386;2,398
12,5130;0,4711;2,3226;4,4288;5,023
12,7140;2,0113;1,4885;-0,7048;2,600
12,9150;1,1037;-3,8296;1,4774;4,251
13,1180;-0,4908;-0,9744;-1,6214;1,954
13,3190;-0,3991;0,3015;-0,0128;0,500
13,5200;-0,0128;1,8515;-0,8217;2,026
13,7210;0,4223;4,7444;4,8967;6,831
13,9230;-0,0948;-1,3259;-2,8763;3,169
14,1250;-0,4616;-1,6090;0,0247;1,674
14,3260;0,4142;-1,0279;-1,8954;2,196
14,5280;-0,3905;0,2171;1,2120;1,292
14,7280;0,5286;2,9839;-0,6371;3,097
14,3260;1,2375;-2,2739;-0,8998;2,741
14,4190;0,1193;-2,5797;3,2064;4,117
14,6210;0,3859;-0,5361;-1,2481;1,412
14,8220;0,5016;1,4703;-0,9102;1,801
15,0240;0,7662;2,3623;2,1752;3,301
15,2260;-1,6109;-0,6319;-1,8358;2,523
15,4270;0,3687;-3,2329;1,2721;3,494
15,6280;-0,0444;0,5467;-1,8771;1,956
15,8300;-0,8983;1,5605;0,2130;1,813
16,0320;0,0741;2,5266;1,5604;2,970
16,2330;1,6222;0,9766;0,7824;2,049
16,4350;-0,3171;-4,0928;0,5202;4,138
16,6350;-0,9862;0,2551;-1,6898;1,973
16,8370;0,7004;2,0032;3,5835;4,165
17,0380;1,0683;1,5600;-3,6107;4,076
17,2400;-0,0308;-2,6104;3,2198;4,145
17,4410;0,0754;1,1500;-1,6007;1,972
17,6430;0,5857;3,0255;-0,7590;3,174
17,8440;0,6460;-1,0680;0,1001;1,252
18,0450;-0,4225;0,3260;2,9096;2,958
18,2470;-0,6762;1,1549;-3,2996;3,561
18,4480;0,1431;-2,4435;4,6390;5,245
18,6500;0,0023;0,0570;-3,5128;3,513
18,8510;0,5769;-0,0454;-3,4054;3,454
19,0530;0,0617;-2,5548;5,4461;6,016
19,2540;0,4683;2,8613;3,2339;4,343
19,4550;-2,8338;3,5635;-5,7483;7,333
19,6560;-0,4552;-3,7877;7,5449;8,455
19,8580;2,0186;4,2460;-5,5318;7,260
