time;ax;ay;az;aT
0,1860;-0,0387;-0,0539;-0,0321;0,074
0,4030;-0,1848;0,1827;-0,2790;0,381
0,5890;0,0490;0,2068;0,0986;0,234
0,7920;1,2071;-0,1614;0,1098;1,223
0,9920;-0,0473;-0,8890;0,7166;1,143
1,1930;0,4206;-0,7136;-0,4979;0,966
1,3940;0,6318;-1,9450;0,1056;2,048
1,5980;0,7311;0,4702;-0,5437;1,025
1,7980;0,3876;0,7700;0,7610;1,150
2,0080;0,4189;-1,0625;-0,5622;1,273
2,2050;0,6943;0,4714;-0,5446;1,000
2,4070;0,3311;0,0560;0,2911;0,444
2,6090;0,3079;-1,0231;1,7890;2,084
2,8090;-0,4646;-0,8423;-1,3428;1,652
3,0130;-0,9681;1,7232;-0,1219;1,980
3,2100;-1,4082;-0,0842;1,0146;1,738
3,4090;0,1902;-0,4324;-0,7104;0,853
3,6110;1,0812;0,9997;-0,7521;1,653
3,8130;0,9541;0,1281;1,6736;1,931
4,0130;-0,4225;-0,9674;-0,7536;1,297
4,2150;-0,8154;0,9281;-0,5465;1,351
4,4160;-1,7441;-0,7305;1,0747;2,175
4,6170;0,8107;-0,1198;-1,3413;1,572
4,8190;1,5726;-0,2934;0,2942;1,627
5,0200;-0,0012;-1,0670;0,2090;1,087
5,2310;0,7679;-0,1479;-1,0148;1,281
5,4320;-0,4842;0,7295;1,2446;1,522
5,6240;-0,4598;-1,4173;0,6156;1,612
5,8250;-0,1579;0,2602;-1,3773;1,411
6,0280;-0,1396;0,3172;1,1886;1,238
6,2280;0,6951;-1,2299;0,4145;1,472
6,4300;-0,1085;0,2000;-1,2122;1,233
6,6310;-0,6929;0,7025;1,5518;1,839
6,8340;-1,0859;-1,2396;0,0421;1,649
7,0340;0,4258;-0,0551;-1,4643;1,526
7,2360;0,4514;-0,1281;1,8447;1,903
7,4370;0,8023;-0,5145;-0,3378;1,011
7,6380;0,5096;-0,2627;-1,0100;1,161
7,8400;-0,3604;-0,2657;1,6633;1,723
