time;ax;ay;az;aT
0,1620;-0,0944;0,1372;0,0689;0,180
0,3620;0,0193;0,0366;-0,0100;0,043
0,5640;-0,0109;-0,0320;0,0709;0,079
0,7650;-0,0635;0,0395;-0,1266;0,147
0,9670;0,0049;0,0306;-0,1191;0,123
1,1690;-0,1162;0,1930;-0,0685;0,235
1,3690;-0,0733;-0,0928;0,2506;0,277
1,5830;0,3250;-0,0246;-0,5822;0,667
1,7850;-0,0981;0,3786;0,2791;0,480
1,9850;-0,1679;0,2347;0,2039;0,353
2,1750;0,0795;-0,0863;-0,0965;0,152
2,3770;-0,1800;0,0699;0,0006;0,193
2,5790;-0,0399;0,0184;0,1126;0,121
2,7790;-0,0782;-0,0178;-0,1907;0,207
2,9810;0,0406;0,1589;0,2541;0,302
3,1820;-0,1312;-0,0742;-0,1991;0,250
3,3840;-0,0955;-0,0200;0,0724;0,121
3,5850;0,1519;0,0263;0,0108;0,155
3,7870;-0,0961;-0,0379;-0,0417;0,111
3,9900;-0,0161;-0,0291;-0,0426;0,054
4,1910;0,0268;0,0132;0,0091;0,031
4,3910;-0,0493;-0,0097;-0,0555;0,075
4,5920;0,0688;0,0321;-0,0170;0,078
4,7940;-0,0111;-0,0251;-0,0211;0,035
4,9950;-0,0326;-0,0532;0,0261;0,068
5,1970;-0,0715;0,0055;0,0113;0,073
5,3980;0,0031;0,1077;-0,0792;0,134
5,6000;0,0754;0,0613;-0,0175;0,099
5,8010;0,2044;0,1903;0,1528;0,318
6,0030;0,6528;0,0364;-0,3793;0,756
6,2050;-0,0292;0,1293;0,1272;0,184
6,4070;-1,2506;-0,3043;0,4341;1,358
6,6070;-1,3069;-0,1592;0,2263;1,336
6,8090;-0,6724;-0,0118;-0,4239;0,795
7,0090;0,1273;-0,0686;-0,0409;0,150
7,2110;0,8059;0,1784;0,5153;0,973
7,4130;1,0342;-0,3531;0,0865;1,096
7,6150;-0,5485;1,3055;-1,1391;1,817
7,8160;-2,1147;1,7998;-0,5280;2,827
8,0170;-2,4148;2,5738;1,4217;3,805
8,2190;3,5262;-3,6975;3,0094;5,930
8,4210;0,1972;-1,5102;-1,9019;2,437
8,6210;-1,1918;1,0315;0,3289;1,610
8,8230;-2,2513;1,6553;0,7874;2,903
9,0240;-0,4670;0,7394;0,2729;0,916
9,2250;3,9618;-4,3112;2,6603;6,431
9,4260;-0,8555;-0,3292;-1,8291;2,046
9,6280;0,8415;1,4557;-0,0941;1,684
9,8300;-0,7238;2,2822;-1,3373;2,742
10,0310;-1,4424;2,1521;0,5585;2,650
10,2330;0,9081;-4,2779;2,7554;5,169
10,4340;0,0267;-1,3286;-0,9667;1,643
10,6350;-0,0582;-0,9956;-1,3920;1,712
10,8380;-2,5916;1,1874;0,5396;2,901
