time;ax;ay;az;aT
0,1110;-0,2239;-1,6581;0,3163;1,703
0,3150;0,8331;-1,0681;1,8740;2,312
0,5170;0,5341;-0,8267;-0,0883;0,988
0,7160;-0,9484;-0,4998;0,1085;1,077
0,9140;-0,6985;-0,3410;0,3545;0,854
1,1170;0,0100;-0,3084;0,1980;0,367
1,3180;-0,1292;-0,3668;0,3060;0,495
1,5190;-0,0095;-0,2022;-0,0532;0,209
1,7210;-0,0288;-0,2005;-0,0458;0,208
1,9210;0,0027;-0,1714;0,0831;0,191
2,1230;-0,1407;-0,1135;-0,1386;0,228
2,3240;-0,0722;-0,0799;0,1308;0,169
2,5250;0,0686;-0,0196;0,0660;0,097
2,7370;-0,0596;-0,1279;-0,1391;0,198
2,9280;-0,0421;-0,0627;0,1386;0,158
3,1300;0,0171;-0,0644;-0,0707;0,097
3,3310;0,0275;-0,0293;0,0214;0,046
3,5330;0,0161;-0,0701;0,0000;0,072
3,7340;0,0126;-0,1050;-0,0451;0,115
3,9360;-0,0530;-0,0092;0,1268;0,138
4,1370;-0,0056;-0,0665;-0,0467;0,081
4,3380;0,0585;-0,0897;-0,0049;0,107
4,5410;0,2272;0,0112;-0,0242;0,229
4,7410;0,0230;-0,0185;-0,0375;0,048
4,9430;-0,1222;-0,2169;0,1042;0,270
5,1440;0,0467;-0,1522;0,1302;0,206
5,3470;0,1733;-0,0132;-0,1781;0,249
5,5470;-0,1811;-0,0265;0,1107;0,214
5,7480;0,0481;-0,0037;-0,0233;0,054
5,9500;0,3597;0,1375;-0,2167;0,442
6,1510;0,1137;-0,0366;-0,0062;0,120
6,3530;0,1168;0,0230;0,0113;0,120
6,5540;-0,0754;-0,0662;0,1533;0,183
6,7550;-0,2562;-0,1204;-0,0135;0,283
6,9570;0,1410;0,1788;0,1231;0,259
7,1580;0,1873;0,0660;0,1788;0,267
7,3600;0,1526;-0,2328;-0,0433;0,282
7,5610;0,0163;-0,0744;-0,1677;0,184
7,7630;-0,1116;-0,2820;0,4846;0,572
7,9640;-0,5985;0,1689;-0,4417;0,763
8,1650;-1,0241;0,5427;-0,3645;1,215
8,3670;-0,7111;0,9896;0,2534;1,245
8,5680;0,9405;-0,2334;-0,1062;0,975
8,7700;1,1823;-0,5589;-0,3086;1,344
8,9730;-1,1035;1,2028;-0,6644;1,762
9,1720;-1,6048;0,8241;-0,3798;1,844
9,3750;-2,4489;2,8461;0,6893;3,817
9,5760;4,8105;-4,3246;3,3026;7,263
