time;ax;ay;az;aT
0,0560;-0,4931;0,3445;-0,0383;0,603
0,2460;0,1632;-0,0120;-0,0469;0,170
0,4480;-0,1952;0,3017;-0,1415;0,386
0,6500;-0,2396;0,1306;0,3731;0,462
0,8520;0,2642;-0,1400;-0,0548;0,304
1,0520;-0,0121;0,0917;0,0061;0,093
1,2540;0,1142;0,0681;-0,0639;0,148
1,4560;-0,1512;0,1699;0,0647;0,236
1,6570;0,1163;0,0327;-0,0318;0,125
1,8580;0,0030;0,0312;0,0423;0,053
2,0590;-0,0104;0,0118;-0,0160;0,022
2,2610;-0,0022;0,0559;0,0092;0,057
2,4630;0,0157;0,0235;-0,0329;0,043
2,6650;0,0292;0,0341;0,0120;0,046
2,8650;-0,0253;0,0226;-0,0003;0,034
3,0660;-0,0110;0,0027;0,0135;0,018
3,2680;0,0069;0,0203;-0,0468;0,052
3,4700;0,0159;0,0122;0,0526;0,056
3,6710;-0,0289;-0,0053;-0,0049;0,030
3,8760;-0,0021;0,0403;0,0046;0,041
4,0740;0,0072;-0,0094;-0,0131;0,018
4,2750;-0,0513;0,0382;0,0108;0,065
4,4760;-0,0000;-0,0271;-0,0370;0,046
4,6780;0,1639;0,0129;-0,0268;0,167
4,8800;0,0253;-0,0309;0,0903;0,099
5,0810;-0,2660;0,0447;-0,0480;0,274
5,2820;-0,6286;0,4361;-0,0533;0,767
5,4850;-0,0985;0,8302;-0,8583;1,198
5,6880;0,2689;1,3885;0,4174;1,475
5,8870;-0,0963;1,8451;-1,0674;2,134
6,0900;0,0476;0,9883;0,0324;0,990
6,2890;-0,0395;1,0920;0,5529;1,225
6,4910;-0,8174;-0,3325;1,0763;1,392
6,6920;-0,9553;-0,1120;-1,8588;2,093
6,9030;-0,0988;1,1849;-0,4054;1,256
7,1110;-0,5702;-0,1383;2,1549;2,233
7,3030;-0,0129;-0,6466;-1,8999;2,007
7,5050;-0,0160;0,7540;-0,7640;1,074
7,7070;-0,9884;0,1376;2,1720;2,390
7,9040;-0,2341;-0,8035;-1,7546;1,944
8,1040;-0,3693;1,3465;-0,6433;1,537
8,3040;0,8167;0,0505;2,0370;2,195
8,5050;-0,3210;-0,2468;-1,4961;1,550
8,7080;0,2845;0,6540;1,0221;1,246
8,9090;0,0035;0,1084;-0,3482;0,365
9,1100;-0,2803;-0,3222;-1,3028;1,371
9,3270;0,3104;0,0476;2,6126;2,631
9,5120;-0,2610;-0,5699;-2,2297;2,316
9,7300;-0,3021;0,5155;0,4850;0,770
9,9250;-1,0945;0,5897;0,7095;1,432
10,1280;0,3287;-0,6836;-1,3579;1,555
10,3260;-0,1896;0,6506;1,4122;1,566
10,5190;0,2344;-0,2942;-0,5626;0,677
10,7210;-0,4943;-0,0653;-1,6743;1,747
10,9220;-0,3085;1,3207;1,6083;2,104
11,1250;0,0024;-0,1629;-1,0720;1,084
11,3240;-0,0550;-0,1206;0,2563;0,289
11,5260;-0,1211;-0,1537;0,7984;0,822
11,7280;-0,5545;-0,1416;-1,1359;1,272
11,9300;-0,0784;1,3721;1,1971;1,823
12,1340;-0,2330;-0,6293;-0,7633;1,016
12,3330;-0,0586;0,4470;-0,2359;0,509
12,5340;1,3194;0,1505;0,2919;1,360
12,7350;-0,5560;-0,1112;-1,6825;1,775
12,9360;0,0269;2,1521;1,4190;2,578
13,1370;0,1558;-0,5683;0,3359;0,678
13,3380;-0,2960;-0,2206;-1,5961;1,638
13,5410;0,6629;0,8230;1,2598;1,644
13,7420;0,2631;-0,7805;-1,2930;1,533
13,9430;-0,7556;1,0816;0,1279;1,326
14,1450;-0,6240;0,4588;1,5599;1,742
14,3460;1,1236;-0,7512;-1,6947;2,168
14,5470;0,3204;0,0176;0,6492;0,724
14,7480;0,6547;-0,3938;-0,7205;1,050
14,9500;-1,3696;0,7613;-1,2926;2,031
15,1520;-0,4723;1,3003;3,4720;3,737
15,3530;0,7356;-0,1687;-2,2094;2,335
15,5550;0,4163;-0,3090;1,2488;1,352
15,7570;0,3505;-0,7969;-0,8296;1,203
15,9570;-0,2046;0,9488;-1,2946;1,618
16,1620;0,0887;1,5583;2,0823;2,602
16,3620;0,1272;-1,2740;-1,0460;1,653
16,5620;-0,1161;-0,1218;0,3918;0,426
16,7630;0,3970;0,2820;0,0119;0,487
16,9650;0,1504;-0,5016;-1,7495;1,826
17,1660;-0,8040;1,0494;1,6101;2,083
17,3670;0,2450;0,4956;-0,1237;0,566
17,5690;0,1630;0,3062;-0,4801;0,592
17,7700;0,9695;-0,8383;1,2002;1,756
17,9720;0,2926;-0,3593;-2,0498;2,102
18,1730;-1,3389;1,5088;0,3852;2,054
18,3750;-0,5166;0,2758;1,5670;1,673
18,5770;0,5276;-0,8663;-1,5018;1,812
18,7770;-0,3728;0,7543;0,1046;0,848
18,9780;0,8475;-0,5387;0,2944;1,046
19,1800;-1,2742;-0,6501;-1,3981;2,000
19,3810;-1,0452;1,1967;2,3566;2,842
19,5820;1,1371;-0,3135;-1,0195;1,559
19,7850;-0,2698;1,0400;-1,2035;1,613
19,9860;0,2457;-0,4336;1,0108;1,127
20,1870;0,4110;0,2167;-1,1215;1,214
20,3900;0,0728;1,3546;1,0418;1,710
20,5910;-0,8360;-0,0818;0,7748;1,143
20,7920;-0,6976;-0,8681;-1,3625;1,760
20,9920;0,4730;-0,0688;1,6110;1,680
21,1940;0,3747;-0,7660;-1,4456;1,678
21,3960;-0,9558;0,9720;-0,5942;1,487
21,5970;-0,3190;0,9316;1,7579;2,015
21,7980;0,3007;-0,7871;-1,1906;1,459
22,0000;0,2300;0,1975;0,6138;0,685
22,2020;-0,0205;-0,5898;0,6571;0,883
22,4020;-0,3379;-0,2798;-1,8314;1,883
22,6040;-0,5172;-0,1319;1,5503;1,640
22,8050;-0,0546;-1,3744;1,1979;1,824
23,0070;-0,3234;-0,6664;-0,7079;1,025
23,2080;-0,3983;-0,5233;0,2863;0,717
23,4100;0,2671;-0,3356;0,5755;0,718
23,6110;-0,0438;-0,0403;-0,3494;0,354
23,8130;-0,0150;0,4640;-0,3033;0,555
24,0140;-0,0376;0,4848;-0,3442;0,596
24,2150;-0,5591;-0,3149;0,4925;0,809
24,4160;0,4439;0,4873;-0,4088;0,776
24,6180;0,2157;0,3616;-0,0440;0,423
24,8200;-0,2913;0,6401;-0,0440;0,705
25,0210;-0,1557;0,2384;-0,1566;0,325
25,2220;-0,3258;0,2693;-0,0879;0,432
25,4250;0,0429;0,3250;0,0387;0,330
25,6270;0,1609;0,2059;-0,0909;0,277
25,8270;-0,0374;0,1820;-0,0212;0,187
26,0280;0,6760;0,3421;-0,3866;0,851
