time;ax;ay;az;aT
0,1600;-0,3894;0,0076;-0,0202;0,390
0,3620;-0,0473;0,1687;0,5712;0,598
0,5630;-0,0264;-0,0474;-0,2109;0,218
0,7640;-0,0718;0,1678;-0,0272;0,185
0,9660;-0,2248;-0,0073;0,0392;0,228
1,1680;-0,0767;0,0677;-0,1191;0,157
1,3690;-0,1200;0,0484;0,0343;0,134
1,5700;-0,1855;-0,0298;-0,0130;0,188
1,7750;-0,0151;0,0182;-0,0801;0,084
1,9740;-0,0909;-0,0080;-0,0915;0,129
2,1780;0,0362;0,0332;-0,0200;0,053
2,3760;0,0029;0,0568;0,2278;0,235
2,5780;-0,0913;0,0163;-0,0072;0,093
2,7790;0,0045;0,1007;0,0823;0,130
2,9830;-0,0786;-0,0009;0,0438;0,090
3,1810;-0,1209;-0,0377;-0,0769;0,148
3,3830;-0,0247;0,0719;0,0429;0,087
3,5850;-0,0228;0,0074;0,0132;0,027
3,7900;0,0197;0,0135;-0,0132;0,027
3,9980;-0,0376;-0,0193;0,0386;0,057
4,1900;-0,0339;-0,0382;-0,0990;0,111
4,3910;-0,0160;0,0547;0,0837;0,101
4,5920;0,0037;0,0099;0,0381;0,040
4,7940;-0,0550;0,0274;-0,0547;0,082
4,9940;0,0690;-0,0346;-0,0111;0,078
5,1970;0,0969;0,0211;-0,0347;0,105
5,3980;-0,2034;-0,0085;0,0095;0,204
5,5990;0,2205;0,0459;-0,1026;0,248
5,8000;-0,0856;0,1461;-0,0576;0,179
6,0010;-0,4188;0,5489;0,0583;0,693
6,2030;-0,4348;-0,0882;0,1043;0,456
6,4040;-0,4377;0,0127;-0,4348;0,617
6,6140;-0,1009;0,7884;-0,1300;0,805
6,8170;0,9383;1,3973;-0,3189;1,713
7,0150;0,2037;1,7401;0,7275;1,897
7,2160;0,6635;-0,4458;1,0746;1,339
7,4170;0,0166;-2,7872;0,4145;2,818
7,6130;-0,4004;-1,3136;-1,8840;2,331
7,8140;-0,4679;0,3381;0,7087;0,914
8,0160;-0,0616;0,8610;-0,6579;1,085
8,2170;-0,5001;1,9660;0,0490;2,029
8,4190;-0,5066;0,6044;2,7777;2,888
8,6200;1,0958;-2,5345;-0,2532;2,773
8,8210;0,3871;-1,6912;-1,0524;2,029
9,0230;0,3600;-0,7515;-0,6173;1,037
9,2240;0,3070;-0,2113;0,4207;0,562
9,4270;0,2738;0,8095;-0,5049;0,993
9,6270;-0,2618;2,6577;-0,5066;2,718
9,8300;0,1470;0,4341;1,5083;1,576
10,0300;-0,5673;-1,9201;0,3019;2,025
10,2310;0,1315;-2,1451;-0,9427;2,347
10,4330;0,0492;-0,6370;-0,3406;0,724
10,6340;0,3005;0,1258;0,7317;0,801
10,8350;-0,1306;0,6822;-0,3820;0,793
11,0370;0,1869;1,7205;-0,5933;1,829
11,2380;-0,0990;1,6124;1,6631;2,318
11,4400;0,4946;-1,4990;1,6366;2,274
11,6420;0,0019;-2,4456;-1,9335;3,118
11,8440;0,1086;-1,5819;0,2507;1,605
12,0450;0,9263;-0,4168;0,0628;1,018
12,2460;0,5020;0,2686;-0,5036;0,760
12,4480;0,4482;1,6098;-0,9968;1,946
12,6490;-1,0548;2,8657;1,5002;3,402
12,8490;0,1471;-0,8609;2,4699;2,620
13,0510;-0,0247;-2,5869;-1,8449;3,178
13,2520;0,1267;-0,9881;-0,2005;1,016
13,4540;-0,0527;0,4478;-0,2506;0,516
13,6560;-0,2740;1,6225;-1,1297;1,996
13,8570;-1,6558;2,5539;1,5848;3,432
14,0590;0,4852;-0,9861;2,6145;2,836
14,2600;0,4988;-2,5816;-1,0690;2,838
14,4610;0,0385;-1,2770;-1,4972;1,968
14,6630;0,2175;0,9599;-0,3145;1,033
14,8650;0,1459;2,2813;0,0722;2,287
15,0650;-0,7155;1,4753;1,8737;2,490
15,2660;0,0961;-2,1510;-0,0405;2,153
15,4680;0,2025;-1,1467;-1,6275;2,001
15,6700;0,2262;1,8283;-1,0513;2,121
15,8710;-3,0929;1,5234;0,9782;3,584
16,0720;1,7020;-1,9754;1,8766;3,213
16,2740;0,0857;-1,2867;-0,7632;1,499
16,4750;0,0983;0,1822;-1,3782;1,394
16,6770;0,3971;1,9961;-0,0299;2,035
16,8780;-0,9795;0,9925;1,6688;2,175
17,0790;0,1861;-3,3022;0,7249;3,386
17,2800;0,2481;-1,7572;-0,1933;1,785
17,4820;-0,2418;-1,2347;-0,8413;1,514
17,6830;-0,4259;0,2082;-0,4132;0,629
17,8850;0,0178;1,8739;-0,4839;1,935
18,0880;0,0099;2,4667;-0,4679;2,511
18,2890;-0,3949;0,7789;1,6063;1,828
18,4890;1,2560;-2,6600;0,2294;2,951
18,6910;-1,2963;1,2096;-1,3736;2,243
18,8920;-0,0118;1,6586;-0,8061;1,844
19,0940;-0,4592;0,3388;1,2421;1,367
19,2950;1,0990;-0,7505;1,3308;1,882
19,4980;-0,5515;-0,1260;-2,2802;2,349
19,7000;-0,4738;2,6643;0,7409;2,806
19,8990;0,2851;-1,6880;1,5921;2,338
20,1050;0,5421;0,6112;-2,0522;2,209
20,3030;-0,0264;1,7502;0,1492;1,757
20,5030;-1,3872;-0,5068;2,6023;2,992
20,7050;0,3716;0,0673;-2,7534;2,779
20,9070;-0,8998;0,9260;0,4738;1,375
21,1130;1,5355;-2,6379;0,4212;3,081
21,3090;0,7648;1,4284;-2,1069;2,658
21,5100;-2,0719;0,7919;3,3122;3,986
21,7120;0,5236;-1,5034;0,3103;1,622
21,9140;0,2303;-0,0415;-2,5015;2,512
22,1140;-0,1758;-0,3760;1,6977;1,748
22,3160;0,4839;1,9418;-1,7733;2,674
22,5180;-0,8171;1,0998;2,0236;2,444
22,7190;1,4726;-0,5098;-0,0825;1,560
22,9210;-0,2904;1,7074;0,5800;1,826
23,1230;4,9845;-3,9358;0,1745;6,353
23,3260;-1,1918;-0,6238;0,4467;1,417
23,5250;-4,3979;4,0441;2,8141;6,604
23,7290;0,1010;-3,4684;2,3896;4,213
23,9310;4,3708;-3,7769;-2,4579;6,278
24,1290;-0,9288;0,9420;1,8549;2,278
24,3310;-4,1380;1,9817;-0,9416;4,684
24,5320;2,3173;-4,6743;0,4141;5,234
24,7330;2,9568;-1,9135;1,0395;3,672
24,9340;-2,0033;3,2683;-0,2676;3,843
25,1360;-2,2323;-0,6412;3,7631;4,422
25,3370;1,5500;0,6349;-1,6094;2,323
25,5390;1,9144;-0,8960;-0,2929;2,134
25,7460;-3,1291;3,2947;1,0187;4,657
25,9490;3,1213;-4,1056;-2,5617;5,759
26,1520;-1,3760;4,3215;2,0203;4,965
26,3490;-0,3972;-1,4684;4,7338;4,972
26,5480;3,1201;-5,3240;0,1740;6,173
26,7510;-4,7916;4,8037;-2,4891;7,227
26,9580;3,3132;-3,1974;3,5623;5,822
27,1510;3,5116;-3,0814;-0,2281;4,677
27,3510;-4,3955;-1,3128;-1,5672;4,848
27,5530;2,3728;-2,9959;-0,9258;3,932
27,7550;0,9821;-3,0881;3,4914;4,763
27,9560;0,9936;-1,6911;3,3259;3,861
28,1580;0,0700;-2,6380;-0,3977;2,669
28,3590;0,7153;-1,2619;0,2163;1,467
28,5600;-0,1680;-0,1283;-0,4550;0,502
28,7690;0,0062;0,3266;-0,4194;0,532
28,9730;0,4079;0,3158;-0,1482;0,537
29,1740;0,1973;0,3817;-0,5845;0,725
29,3740;-0,0031;0,3735;-0,0917;0,385
29,5670;-0,0151;0,5305;0,0339;0,532
29,7680;0,1064;0,5536;-0,0867;0,570
29,9700;0,0481;0,4179;-0,1272;0,439
30,1720;0,0572;0,4238;-0,3148;0,531
30,3730;0,0869;0,4305;-0,0294;0,440
30,5740;-0,0305;0,2621;-0,0731;0,274
30,7750;-0,0492;0,2779;-0,1342;0,313
30,9770;0,0602;0,2967;-0,0420;0,306
31,1790;0,1471;0,2875;-0,0752;0,332
31,3800;0,0987;0,1424;-0,1859;0,254
31,5810;-0,0192;0,1552;-0,1642;0,227
31,7820;-0,0738;0,4426;0,0042;0,449
31,9840;0,1003;0,3275;-0,0902;0,354
32,1850;0,0983;0,1179;-0,1224;0,196
32,3870;0,0911;0,2599;-0,0730;0,285
32,5880;0,0138;0,3043;-0,1169;0,326
32,7900;-0,0652;0,0647;-0,1042;0,139
32,9910;0,0875;0,0401;-0,1162;0,151
33,1920;0,2456;0,3037;-0,3379;0,517
