time;ax;ay;az;aT
0,0300;-0,0884;0,5755;-0,3621;0,686
0,2310;-0,0282;-0,0573;0,2548;0,263
0,4330;-0,0066;0,0498;-0,0302;0,059
0,6340;-0,0284;-0,0228;-0,0843;0,092
0,8360;0,0694;0,0079;0,0109;0,071
1,0370;-0,0294;0,0216;-0,0094;0,038
1,2400;0,0129;-0,0174;-0,0289;0,036
1,4400;0,0646;0,0173;-0,0152;0,069
1,6420;-0,0251;-0,0202;-0,0436;0,054
1,8430;-0,0251;-0,0238;0,0313;0,047
2,0450;0,0526;0,0105;-0,0381;0,066
2,2470;-0,0066;0,0525;0,0381;0,065
2,4490;-0,0452;0,0457;-0,0250;0,069
2,6510;-0,0734;-0,1580;0,0719;0,188
2,8510;0,0449;-0,0072;-0,0084;0,046
3,0510;0,0131;-0,1008;0,0322;0,107
3,2540;0,0735;-0,0365;-0,0256;0,086
3,4560;-0,0071;0,2507;-0,0602;0,258
3,6570;-1,0730;-0,0014;0,1062;1,078
3,8570;0,6526;-0,1451;-0,0464;0,670
4,0600;0,3273;-0,3991;0,0122;0,516
4,2620;0,2002;-0,1088;0,0353;0,231
4,4610;0,0786;-0,0862;-0,0216;0,119
4,6640;-0,0014;-0,1280;0,0673;0,145
4,8640;0,0120;-0,1436;0,0956;0,173
5,0650;-0,0867;-0,1342;-0,1434;0,215
5,2670;0,1258;-0,0681;0,0256;0,145
5,4690;-0,0170;-0,1037;0,1279;0,166
5,6690;0,1477;-0,0352;-0,0415;0,157
5,8710;0,1584;-0,1022;-0,1116;0,219
6,0730;-0,1709;0,0720;-0,0487;0,192
6,2750;-0,0716;0,0800;0,2867;0,306
6,4750;-0,2902;-0,2143;-0,2533;0,441
6,6770;-0,1352;0,4091;-0,1234;0,448
6,8780;-0,6761;0,4940;0,0203;0,838
7,0790;0,4950;0,6606;0,2172;0,854
7,2810;2,3362;2,6950;0,2874;3,578
7,4820;-0,8760;1,0625;-0,0810;1,379
7,6840;-0,8575;0,2108;1,8758;2,073
7,8850;0,0002;-0,8067;-0,9871;1,275
8,0870;-0,5452;-0,1023;-1,6256;1,718
8,2880;0,4141;0,5033;2,2121;2,306
8,4900;-0,1012;-0,8960;-1,0288;1,368
8,6910;-0,3199;0,4333;-1,4095;1,509
8,8930;0,2845;0,1395;3,0123;3,029
9,0950;0,3150;-0,1383;-1,5857;1,623
9,2960;-0,5618;-0,9214;0,9293;1,424
9,4960;0,4350;-1,8855;0,6171;2,031
9,6980;0,1132;0,5488;-2,0719;2,146
9,9000;-0,5183;0,1280;2,3944;2,453
10,1000;0,1247;-0,5335;-1,1894;1,310
10,3020;-0,2943;-0,1824;-0,5168;0,622
10,5030;1,0262;-1,2874;1,4481;2,193
10,7050;-0,6411;0,1931;-0,9839;1,190
10,9060;-0,8810;0,4365;2,6021;2,782
11,1080;0,6995;-0,5883;-1,2472;1,546
11,3090;0,0435;0,1813;-0,4575;0,494
11,5100;0,8732;-0,7918;1,1152;1,623
11,7160;0,3525;-0,0893;-2,6050;2,630
11,9140;-0,2445;0,4360;2,5540;2,602
12,1150;-0,0978;0,2631;-0,4968;0,571
12,3160;-0,4935;-0,4147;-0,8191;1,042
12,5180;0,7944;-0,9652;1,8871;2,264
12,7190;-0,6476;-0,2041;-1,6107;1,748
12,9290;-0,2851;0,6470;1,6570;1,802
13,1290;0,3216;0,0127;-0,3565;0,480
13,3300;0,4065;-0,1430;-1,1134;1,194
13,5300;1,1333;-0,9575;1,4297;2,060
13,7310;-0,2023;-0,5082;-1,0295;1,166
13,9300;-0,1209;0,7855;0,9709;1,255
14,1310;-0,0254;-0,3210;-0,0906;0,334
14,3310;-0,4181;-0,1528;0,1297;0,464
14,5320;1,1339;-0,7048;1,3786;1,919
14,7340;0,0653;-0,3726;-1,9338;1,970
14,9370;-1,2017;0,6700;1,0770;1,747
15,1360;0,1654;-0,3619;-0,5034;0,642
15,3380;0,4542;-0,1633;-0,9345;1,052
15,5390;0,1321;-0,1302;1,4853;1,497
15,7420;0,0983;-0,2178;-2,0629;2,077
15,9440;-0,5733;0,8504;1,5120;1,827
16,1430;0,3103;-0,3135;-0,4547;0,634
16,3450;0,8662;0,2884;-0,0118;0,913
16,5460;0,4521;-0,7272;1,1369;1,423
16,7480;0,0278;0,0425;-1,7406;1,741
16,9500;-1,1853;0,7595;1,3714;1,965
17,1500;0,1258;-0,8534;0,2373;0,895
17,3520;1,0420;0,1291;-1,1437;1,553
17,5530;-0,2881;-0,3011;1,4365;1,496
17,7540;0,2766;-0,2539;-1,7957;1,834
17,9560;-0,8942;0,8213;0,9057;1,515
18,1630;-0,0402;0,0212;0,7149;0,716
