time;ax;ay;az;aT
0,1740;0,0258;-0,0235;-0,0021;0,035
0,3660;-0,0481;0,0546;0,0084;0,073
0,5380;0,0420;-0,0166;-0,0080;0,046
0,7000;-0,0214;0,0190;0,0037;0,029
0,9230;0,0162;0,0186;-0,0028;0,025
1,1140;-0,0370;-0,0566;0,0020;0,068
1,3080;0,0082;0,0833;-0,0081;0,084
1,5010;0,0275;-0,0212;0,0047;0,035
1,8320;-0,0068;-0,0350;-0,0017;0,036
1,9940;0,0202;-0,0087;-0,0027;0,022
2,1560;0,0014;0,0271;0,0070;0,028
2,3180;-0,0216;-0,0190;-0,0025;0,029
2,6320;-0,0117;0,0104;-0,0030;0,016
2,8030;0,0055;0,0018;0,0071;0,009
2,9650;0,0125;0,0101;-0,0020;0,016
3,1260;0,0008;-0,0125;-0,0027;0,013
3,3800;-0,0063;0,0069;0,0018;0,010
3,5720;0,0086;-0,0034;-0,0027;0,010
3,8070;0,0043;-0,0038;-0,0021;0,006
3,9990;-0,0014;0,0038;-0,0020;0,005
4,1780;-0,0032;0,1284;0,0124;0,129
4,3600;-0,0368;0,4199;0,0482;0,424
4,5420;0,0181;0,4583;-0,0046;0,459
4,7640;0,0077;0,3975;-0,0107;0,398
4,9460;-0,0415;0,5312;0,0518;0,535
5,1380;0,0269;0,2376;0,0075;0,239
5,3360;0,0329;0,1994;-0,0373;0,205
5,5220;-0,0734;0,3021;-0,0124;0,311
5,7550;0,0222;0,1343;0,1598;0,210
6,0790;0,0000;0,0936;0,0528;0,107
6,2400;-0,3052;0,1348;0,1507;0,366
6,4040;-0,3019;0,0624;0,1338;0,336
6,5640;0,2519;-0,0312;-0,3993;0,473
6,8490;-0,1504;0,2241;0,0660;0,278
7,0410;-0,1752;0,2173;0,0641;0,286
7,2110;0,0184;0,1481;0,2610;0,301
7,3730;0,0644;-0,0567;-0,3621;0,372
7,5940;0,1222;0,1533;-0,0248;0,198
7,7870;0,0501;-0,1440;0,1563;0,218
7,9790;-0,0534;0,0952;-0,0640;0,127
8,1710;-0,1080;0,0016;-0,0694;0,128
8,5060;0,1852;-0,0368;-0,1005;0,214
8,6670;-0,1439;0,0885;0,1799;0,247
8,8280;-0,0927;0,0673;0,1680;0,203
8,9900;0,2026;-0,3670;-0,0042;0,419
9,3040;0,0830;-0,1341;0,3565;0,390
9,4750;0,0978;-0,1506;-0,7742;0,795
9,6370;0,0594;-0,0915;-0,7275;0,736
9,7990;0,1645;-0,6868;0,2448;0,747
10,0540;-0,0296;0,5787;-0,0589;0,582
10,2440;-0,1489;-0,1196;-0,0089;0,191
10,4360;0,0703;0,0833;0,0338;0,114
10,6080;-0,3024;-0,0400;0,4040;0,506
10,8000;0,2211;-0,4150;-0,4653;0,662
10,9920;-0,0423;-0,0605;0,0341;0,081
11,1860;-0,0863;-0,1461;0,4047;0,439
11,4160;0,2132;-0,3392;-0,3078;0,505
11,7400;-0,4134;0,2209;0,4201;0,629
11,9020;0,3680;-0,4786;-0,3301;0,688
12,0640;0,3220;-0,4553;-0,3134;0,640
12,2260;-0,0462;-0,1351;0,1288;0,192
12,5080;0,2800;-9,3191;-0,6069;9,343
12,7000;-1,0418;-8,4858;-0,3537;8,557
12,8730;0,4211;-0,2451;-0,4590;0,669
13,0340;0,0179;1,2088;0,2210;1,229
13,2570;-0,2819;0,9033;0,1666;0,961
13,4480;-0,3042;0,8575;0,1509;0,922
13,6410;-0,2897;0,8119;0,1426;0,874
13,8330;-0,2737;0,7729;0,1302;0,830
14,0080;-0,1795;0,5162;0,0886;0,554
14,3890;-0,1215;0,3420;0,0559;0,367
14,5710;-0,0803;0,2289;0,0386;0,246
14,7540;-0,0552;0,1503;0,0263;0,162
14,9360;-0,0347;0,1035;0,0201;0,111
15,1170;-0,0242;0,0664;0,0113;0,072
15,2990;-0,0158;0,0443;0,0075;0,048
15,4820;-0,0126;0,0324;0,0096;0,036
15,6630;-0,0069;0,0166;0,0049;0,019
15,8460;-0,0049;0,0140;-0,0026;0,015
16,2160;0,0001;0,0116;0,0028;0,012
16,3910;-0,0017;0,0075;0,0018;0,008
16,5730;0,0000;0,0052;0,0007;0,005
16,7550;-0,0012;-0,0014;0,0028;0,003
16,9370;0,0042;0,0004;0,0008;0,004
17,1190;0,0027;0,0003;0,0005;0,003
17,3030;0,0007;-0,0019;-0,0009;0,002
17,4830;-0,0008;0,0007;0,0026;0,003
17,6660;-0,0019;0,0009;0,0022;0,003
18,0360;-0,0003;0,0010;-0,0015;0,002
18,2110;-0,0016;0,0013;0,0004;0,002
18,3920;0,0004;0,0023;0,0012;0,003
18,5750;0,0018;0,0029;-0,0013;0,004
18,7560;0,0032;0,0024;-0,0131;0,014
18,9390;0,0057;0,0175;-0,0064;0,019
19,1210;-0,0116;-0,0085;0,0205;0,025
