time;wx;wy;wz
0,018;0,05;0,02;-0,07
0,174;-0,02;-0,21;-0,06
0,336;-0,22;-0,25;0,11
0,498;-0,09;-0,01;0,03
0,812;-0,01;-0,01;-0,03
0,983;-0,02;0,03;0,01
1,145;0,01;-0,02;-0,01
1,307;0,01;-0,04;-0,00
1,560;0,03;-0,01;0,00
1,752;0,02;0,01;0,01
1,944;-0,02;0,04;-0,02
2,126;0,07;-0,19;-0,10
2,309;-0,04;0,23;0,13
2,500;-0,19;-0,00;-0,05
2,691;0,24;0,25;0,06
2,924;-0,24;-0,27;-0,07
3,248;0,01;-0,10;0,02
3,410;0,05;0,03;0,02
3,573;0,03;0,04;0,05
3,734;-0,08;0,05;0,12
4,017;0,04;-0,02;-0,01
4,208;0,07;0,07;-0,04
4,381;0,02;-0,01;0,03
4,542;-0,01;0,08;0,06
4,765;0,05;-0,10;0,03
4,957;-0,07;0,05;0,01
5,148;0,02;0,07;0,05
5,341;-0,19;0,06;0,04
5,676;0,02;-0,22;-0,03
5,837;0,05;-0,08;-0,12
5,998;-0,06;0,01;-0,14
6,160;0,01;-0,02;-0,03
6,473;-0,07;-0,10;-0,08
6,645;0,09;0,04;-0,18
6,807;-0,04;0,05;0,08
6,968;0,08;0,09;0,00
7,221;0,24;-0,02;-0,18
7,413;0,01;-0,20;-0,28
7,605;0,07;-0,24;-0,32
7,777;0,08;0,02;-0,23
7,969;0,17;0,10;-0,03
8,162;-0,29;-0,06;0,04
8,354;0,11;-0,08;-0,16
8,586;0,21;-0,15;-0,30
8,912;-0,25;-0,15;-0,22
9,071;0,05;0,09;0,07
9,240;0,28;0,16;0,10
9,395;-0,19;0,10;0,41
9,678;0,07;0,04;0,23
9,870;0,19;-0,01;-0,11
10,045;0,03;-0,26;-0,37
10,204;-0,10;-0,22;-0,33
10,428;0,11;0,07;-0,11
10,619;-0,18;0,11;0,15
10,813;-0,03;0,01;0,32
11,003;0,07;-0,02;-0,05
11,336;0,04;-0,30;-0,24
11,498;-0,14;-0,09;-0,15
11,664;0,19;0,12;-0,33
11,822;-0,14;-0,21;-0,15
12,135;-0,12;-0,17;-0,32
12,307;0,06;-0,10;-0,45
12,470;-0,04;-0,34;-0,70
12,631;-0,04;-0,29;-0,51
12,883;0,23;-0,19;-0,51
13,082;-0,24;-0,10;-0,25
13,267;-0,05;-0,25;-0,23
13,439;0,19;-0,27;-0,52
13,630;-0,07;-0,20;-0,46
13,841;0,19;-0,32;-0,57
14,015;0,20;-0,21;-0,35
14,248;-0,10;0,09;0,09
14,573;0,02;-0,06;0,17
14,734;0,11;-0,14;-0,03
14,895;0,09;-0,18;-0,28
15,057;-0,17;-0,12;-0,09
15,341;0,15;0,06;-0,24
15,532;-0,08;0,15;0,03
15,704;-0,10;-0,10;0,07
15,868;0,13;-0,18;-0,22
16,089;-0,06;-0,17;-0,38
16,284;-0,04;-0,24;-0,39
16,474;0,34;-0,05;-0,15
16,665;-0,25;0,04;0,16
16,999;0,06;-0,02;-0,01
17,160;0,31;-0,38;-0,39
17,322;-0,45;-0,23;-0,38
17,487;0,19;-0,19;-0,48
17,797;-0,02;-0,02;-0,05
17,969;-0,18;0,11;0,15
18,131;0,08;-0,08;-0,29
18,295;-0,20;-0,30;-0,21
18,546;-0,02;-0,28;-0,52
18,738;0,21;-0,20;-0,37
18,934;-0,20;0,02;-0,24
19,103;0,07;-0,27;-0,11
19,292;0,31;-0,29;-0,53
19,485;-0,23;-0,11;-0,28
19,678;0,00;-0,10;-0,28
19,911;0,21;-0,11;-0,41
20,235;-0,12;-0,18;-0,09
20,398;0,02;-0,35;-0,08
20,558;-0,07;-0,03;-0,19
20,720;-0,01;-0,15;-0,43
21,004;0,02;-0,34;-0,36
21,194;-0,14;0,04;-0,28
21,366;0,25;-0,39;-0,05
21,528;0,01;-0,12;-0,02
21,755;0,05;-0,00;-0,03
21,943;-0,12;-0,07;0,16
22,135;0,17;0,25;0,03
22,327;-0,05;0,11;0,05
22,661;0,04;-0,08;-0,08
22,825;-0,00;-0,27;-0,39
22,984;-0,06;-0,31;-0,51
23,146;-0,21;-0,29;-0,26
23,460;0,10;-0,01;-0,31
23,633;-0,18;-0,19;0,07
23,793;0,03;-0,16;-0,26
23,961;0,08;-0,17;-0,39
24,207;-0,06;-0,24;-0,14
24,399;-0,02;0,06;-0,29
24,591;-0,08;0,18;-0,19
24,766;0,05;-0,33;-0,01
24,955;-0,02;-0,19;-0,27
25,147;-0,21;-0,17;-0,47
25,340;-0,13;-0,24;-0,50
25,573;0,21;-0,08;-0,41
25,896;0,23;0,05;-0,43
26,061;-0,05;-0,51;-0,22
26,219;0,15;-0,31;-0,69
26,385;-0,00;-0,34;-0,17
26,665;0,04;-0,20;-0,35
26,859;0,21;-0,01;-0,16
27,029;-0,06;-0,04;0,06
27,193;-0,09;-0,17;-0,01
27,412;0,10;-0,12;-0,07
27,604;-0,19;-0,20;-0,08
27,804;0,02;0,05;-0,27
27,991;-0,07;0,06;-0,29
28,323;-0,03;-0,13;-0,10
28,487;0,18;-0,09;0,00
28,646;0,08;-0,06;-0,18
28,808;-0,18;-0,18;-0,32
29,121;0,19;-0,12;-0,10
29,295;-0,03;0,10;0,04
29,455;-0,10;-0,03;0,06
29,624;0,21;-0,19;-0,09
29,870;-0,11;-0,19;-0,36
30,062;-0,18;-0,07;-0,11
30,253;0,28;0,05;-0,20
30,427;-0,26;-0,12;0,19
30,617;0,03;0,02;-0,05
30,812;0,08;-0,16;-0,16
31,002;-0,15;-0,16;-0,29
31,234;0,12;0,01;-0,12
31,559;0,06;0,09;-0,02
31,720;-0,16;-0,07;-0,05
31,881;0,20;-0,13;-0,17
32,043;-0,09;-0,35;-0,43
32,332;-0,23;0,04;-0,35
32,519;0,31;-0,14;-0,13
32,690;-0,02;0,00;-0,14
32,852;0,13;-0,73;-1,37
33,074;0,45;-1,60;-1,90
33,266;-0,08;-1,17;-1,41
33,458;-0,31;-0,60;-0,81
33,651;0,15;-0,62;-0,61
33,985;-0,01;-0,95;-1,00
34,152;-0,04;-0,70;-1,00
34,308;0,05;-0,43;-0,65
34,469;-0,13;-0,17;-0,45
34,783;-0,06;-0,19;-0,29
34,955;-0,03;-0,11;-0,21
35,117;-0,03;-0,03;-0,09
35,279;0,01;-0,00;-0,01
35,533;0,04;0,02;-0,02
35,723;0,12;0,13;0,16
35,916;0,17;0,36;0,25
36,088;-0,03;0,28;0,53
36,280;-0,02;0,32;0,28
36,478;-0,38;0,45;-0,26
36,666;0,03;-0,02;0,35
36,897;-0,25;0,20;0,34
37,220;0,05;0,04;0,21
37,381;0,12;-0,13;0,10
37,543;0,18;0,06;0,09
37,705;0,06;0,08;0,10
37,989;-0,33;-0,17;0,12
38,180;-0,14;-0,11;0,11
38,353;-0,15;0,01;-0,26
38,513;0,03;-0,25;-0,45
38,736;0,34;-0,34;-0,56
38,928;0,14;-0,16;-0,22
39,120;-0,10;0,15;0,13
39,312;0,24;-0,09;-0,47
39,647;0,23;-0,56;-0,17
39,808;0,02;-0,43;-0,33
39,970;0,05;0,18;0,09
40,132;0,14;0,72;0,74
40,445;-0,06;1,36;1,38
40,617;-0,44;0,98;1,65
40,779;-0,19;0,33;0,65
40,940;0,09;-0,46;-0,50
41,193;-0,02;-0,46;-0,54
41,387;0,19;0,01;-0,25
41,581;-0,06;0,14;-0,09
41,751;-0,07;0,01;-0,10
41,942;-0,11;0,01;0,01
42,134;0,11;0,01;-0,11
42,326;-0,04;-0,13;-0,30
42,558;-0,11;-0,12;-0,16
42,882;-0,14;-0,02;-0,35
43,044;-0,06;-0,19;-0,31
43,206;-0,08;0,15;-0,34
43,367;0,21;-0,04;-0,24
43,650;0,21;-0,67;-0,84
43,842;0,33;-1,16;-1,52
44,014;-0,17;-0,68;-0,26
44,176;-0,37;0,38;0,77
44,399;0,08;1,01;1,39
44,591;0,09;0,94;1,15
44,782;0,16;0,25;0,95
44,975;-0,05;-0,01;0,79
45,308;-0,34;-0,22;-0,34
45,470;-0,26;-0,18;0,13
45,635;0,34;-0,02;0,39
45,793;0,23;0,39;-0,08
46,107;-0,20;0,13;-0,14
46,279;-0,05;0,13;-0,22
46,441;-0,07;0,07;-0,39
46,603;0,18;-0,31;-0,95
46,855;0,22;-1,05;-1,41
47,052;0,16;-0,51;-1,44
47,243;-0,04;-0,59;-0,75
47,413;0,24;-0,30;-0,09
47,603;-0,21;-0,09;0,33
47,796;-0,62;0,55;0,71
47,988;0,07;0,79;0,71
48,220;0,16;-0,04;0,65
48,545;-0,00;-0,22;0,27
48,705;0,03;-0,05;0,03
48,867;0,01;0,04;-0,03
49,029;0,07;-0,08;-0,09
49,311;0,14;0,13;0,01
