time;wx;wy;wz
0,180;-0,10;0,86;0,59
0,382;-0,48;0,60;-0,14
0,584;0,57;-0,40;-0,02
0,787;-0,06;-0,06;0,04
0,989;-0,06;-0,05;-0,09
1,190;-0,07;-0,01;-0,02
1,393;0,01;0,04;-0,01
1,595;-0,02;-0,00;-0,03
1,797;0,04;0,00;-0,05
2,003;-0,06;-0,02;0,04
2,202;-0,07;0,05;0,03
2,404;0,11;-0,03;-0,12
2,606;0,04;-0,07;-0,11
2,808;0,02;-0,04;-0,03
3,011;-0,03;0,03;0,02
3,216;-0,01;0,03;0,05
3,415;-0,00;-0,02;0,03
3,617;0,26;-0,07;-0,12
3,819;-0,20;-0,27;0,10
4,022;0,13;0,03;0,02
4,224;0,20;0,21;0,26
4,427;-0,51;-0,62;0,32
4,628;-0,16;-0,18;-0,25
4,831;-0,62;0,55;-0,30
5,034;0,33;-0,27;0,71
5,235;0,05;0,71;-0,16
5,438;0,36;0,08;-0,29
5,640;-0,04;0,14;-0,09
5,842;0,00;0,04;-0,17
6,044;0,05;-0,00;-0,18
6,246;-0,07;0,31;0,16
6,451;0,12;-0,21;0,28
6,651;0,01;-0,23;-0,31
6,853;0,15;-0,02;-0,28
7,056;0,22;0,10;-0,23
7,259;-0,41;0,31;0,10
7,460;0,16;-0,20;-0,07
7,662;0,26;-0,13;-0,29
7,864;-0,14;0,02;-0,79
8,066;0,20;-0,25;-0,74
8,269;-0,27;0,41;-0,10
8,471;0,14;-0,27;-0,25
8,673;0,15;-0,30;-0,36
8,875;0,03;-0,23;-0,77
9,077;0,26;0,08;-0,54
9,280;-0,37;0,50;0,01
9,482;0,16;-0,51;-0,03
9,683;0,14;-0,04;-0,12
9,886;-0,21;0,10;-0,70
10,088;0,36;-0,23;-0,52
10,291;-0,66;0,65;0,23
10,493;0,27;-0,34;0,05
10,695;0,10;-0,02;-0,30
10,897;-0,13;0,03;-0,92
11,100;0,59;-0,31;-0,61
11,302;-0,38;0,47;0,26
11,504;-0,06;-0,21;0,22
11,706;0,29;-0,30;-0,04
11,908;-0,27;0,03;-0,84
12,110;0,40;-0,34;-0,84
12,313;-0,07;0,46;0,07
