time;ax;ay;az;aT
0,0470;-0,1790;0,2054;0,0970;0,289
0,3710;-0,2656;0,0697;0,0389;0,277
0,5350;0,0526;0,0278;0,0845;0,103
0,7010;-0,1163;0,0064;-0,0877;0,146
0,8560;0,1544;-0,1653;-0,0197;0,227
1,1410;0,6350;-0,1678;-0,2594;0,706
1,3320;0,3036;-0,1487;0,1293;0,362
1,5060;-0,2664;0,1167;0,1387;0,322
1,6330;-0,9361;0,5004;0,0357;1,062
1,9890;-0,2412;-0,1743;0,1059;0,316
2,1730;-0,1966;-0,2155;-0,0569;0,297
2,3530;-0,0794;0,0103;-0,2164;0,231
2,5350;0,4087;0,4169;0,1747;0,609
2,7170;-0,1481;0,1107;0,0503;0,192
2,9010;-0,0189;0,0230;0,0652;0,072
3,0820;0,0283;0,2255;-0,3492;0,417
3,2630;0,0006;0,1847;0,2701;0,327
3,6270;0,1680;0,0092;0,1527;0,227
3,8090;-0,1507;-0,1389;-0,0066;0,205
3,9920;0,0266;0,0739;-0,0038;0,079
4,1730;-0,3140;0,1015;0,1639;0,368
4,3580;0,0830;0,0222;-0,2016;0,219
4,5380;-0,1608;-0,0574;-0,3931;0,429
4,7190;-0,1878;0,1167;-0,3854;0,444
4,9010;0,0317;-0,5858;0,2356;0,632
5,0830;0,0803;-0,2655;-0,0047;0,277
5,4470;-0,6788;-0,1904;0,5738;0,909
5,6290;0,1788;-0,0361;-0,2259;0,290
5,8110;0,5342;-0,1144;-0,0287;0,547
5,9930;-0,3805;0,2360;0,2223;0,500
6,1750;-0,1515;-0,1919;0,2591;0,356
6,3570;0,4786;0,2212;-0,6173;0,812
6,5430;0,3756;0,3306;-0,6055;0,785
6,7210;-0,5482;0,0734;0,1275;0,568
6,9030;-0,1913;1,0566;-0,1496;1,084
7,2670;1,0241;-0,2325;0,8466;1,349
7,4510;0,5505;-0,2744;-0,0007;0,615
7,6310;-0,6220;-0,7792;-0,2603;1,030
7,8130;1,0082;0,5343;0,3495;1,193
7,9960;-0,7801;0,1270;0,6385;1,016
8,1770;-0,1941;-1,5393;0,1418;1,558
8,3640;1,0357;-2,2561;0,2365;2,494
8,5410;0,8875;1,2995;-0,8801;1,803
8,7230;-0,8040;0,5789;-0,0912;0,995
9,0870;-0,0164;-0,1292;-0,1903;0,231
9,2690;0,8558;0,6350;-0,1339;1,074
9,4510;-1,0721;-0,3192;0,6206;1,279
9,6330;-0,1880;-0,2201;-0,0155;0,290
9,8160;-0,0663;0,1168;0,0572;0,146
9,9960;-0,2996;-0,2261;-0,4771;0,607
10,1790;-0,2275;-0,4783;-0,4317;0,683
10,3610;-0,5052;0,5281;-0,0943;0,737
10,5430;-1,6037;1,6021;0,4331;2,308
10,9070;0,7291;-0,2257;0,1861;0,786
11,0890;-0,7763;0,2683;0,2569;0,861
11,2710;-0,1536;-0,1004;-0,4443;0,481
11,4530;0,3094;-0,4009;0,1918;0,542
11,6360;-0,3500;-0,0651;0,1492;0,386
11,8210;0,3762;0,1386;0,2927;0,496
11,9990;0,0353;0,3262;0,3024;0,446
12,1840;-0,4236;-0,1540;0,2284;0,505
12,3630;-0,0362;-0,1385;-0,2690;0,305
12,7270;0,0732;-0,2571;-0,1566;0,310
12,9090;0,1241;0,0629;0,0855;0,163
13,0910;-0,2318;0,1463;0,0435;0,278
13,2800;0,1579;-0,0387;-0,5532;0,577
13,4550;0,6781;0,1343;0,7502;1,020
13,6370;-0,1027;-0,1360;-0,0636;0,182
13,8190;0,1897;-0,6501;-0,0651;0,680
14,0010;-0,6344;-0,0504;-0,1912;0,664
14,1830;0,0108;-0,0193;-0,0165;0,028
14,5480;-0,1431;-0,0524;0,0778;0,171
14,7290;-0,0390;-0,0734;-0,0485;0,096
14,9110;0,0966;0,0432;-0,0113;0,106
15,1000;0,0823;-0,0166;0,1672;0,187
15,2750;-0,1549;0,0081;-0,0753;0,172
