time;wx;wy;wz
0,154;0,04;-0,08;0,05
0,356;-0,04;-0,01;-0,02
0,558;-0,02;-0,02;0,01
0,760;0,00;-0,00;0,03
0,963;-0,00;-0,02;-0,02
1,165;-0,02;-0,01;0,00
1,367;0,00;0,00;-0,01
1,569;-0,03;0,01;0,03
1,771;0,00;0,01;0,04
1,982;-0,07;0,07;0,06
2,176;-0,03;0,02;0,06
2,379;0,00;0,01;-0,05
2,581;0,02;-0,00;-0,01
2,783;0,01;0,01;0,01
2,986;0,05;-0,04;0,01
3,187;0,03;-0,01;-0,01
3,390;-0,07;0,02;0,05
3,592;-0,03;0,04;0,06
3,794;-0,03;0,03;0,11
3,996;-0,01;-0,03;0,09
4,198;-0,05;-0,18;0,12
4,401;0,03;-0,02;0,05
4,603;-0,04;-0,03;0,02
4,805;0,02;0,04;0,05
5,007;-0,10;-0,00;0,34
5,209;0,04;0,06;0,26
5,412;0,06;0,16;0,09
5,614;-0,18;-0,08;0,19
5,816;-0,01;0,25;0,09
6,018;-0,09;0,38;0,59
6,221;0,31;0,06;0,47
6,423;-0,17;-0,23;-0,09
6,625;0,19;-0,27;-0,52
6,827;0,35;-0,08;-0,58
7,030;-0,51;0,52;-0,13
7,232;-0,08;-0,12;0,31
7,434;0,30;-0,01;0,02
7,636;0,12;-0,05;-0,84
7,838;0,07;-0,49;-0,74
8,041;0,01;0,22;-0,47
8,243;-0,32;0,14;-0,06
8,446;-0,23;-0,44;-0,46
8,647;0,44;-0,31;-0,90
8,849;0,10;0,09;-0,67
9,052;-0,08;-0,27;-0,59
9,254;-0,38;0,13;0,43
9,456;0,32;-0,15;0,18
9,658;-0,17;0,03;-0,61
9,861;0,27;-0,15;-0,50
10,062;0,19;0,39;-0,13
10,265;-0,87;0,28;0,24
10,467;0,12;-0,32;0,10
10,670;-0,21;0,12;-0,18
10,872;0,51;0,02;-0,70
11,074;0,54;0,01;-0,52
11,276;-0,96;0,12;0,19
11,478;0,21;-0,41;0,02
11,681;0,41;-0,25;-0,54
11,883;0,04;-0,06;-0,59
12,085;0,55;-0,01;-0,57
12,286;-0,58;0,22;0,33
12,489;0,02;-0,31;0,42
12,692;0,24;0,31;0,10
12,893;-0,03;-0,03;-0,67
13,098;0,73;-0,32;-0,77
13,298;-1,13;0,55;0,53
13,502;-0,17;-0,04;-0,22
13,703;0,23;-0,21;-0,30
13,913;0,21;0,03;-0,93
14,111;0,79;-1,06;-1,11
14,314;-0,62;0,48;0,04
14,514;-0,58;-0,25;0,33
14,714;0,13;0,42;-0,31
14,916;0,01;0,22;-0,87
15,123;1,15;-0,49;-0,90
15,320;-0,65;0,31;0,15
15,522;-0,24;-0,22;0,14
15,725;0,12;-0,25;0,21
15,927;0,17;0,57;-0,81
16,129;0,86;-0,44;-1,05
16,331;-0,99;0,00;0,23
16,534;-0,08;-0,24;0,39
16,735;0,14;0,07;0,11
16,938;0,02;0,52;-0,66
17,140;0,62;-0,19;-0,55
17,343;-0,21;0,22;0,15
17,544;-0,46;-0,48;0,16
17,747;0,09;-0,25;-0,06
17,949;0,07;0,31;-0,79
18,151;0,54;-0,36;-0,96
18,353;-0,14;0,34;-0,16
18,555;-0,19;-0,12;0,04
18,758;0,25;-0,36;-0,01
18,960;-0,08;0,44;-0,49
19,162;1,04;-0,20;-0,81
19,364;0,37;0,42;-0,69
19,567;-0,77;-0,21;0,22
19,769;0,02;-0,47;0,36
19,971;-0,11;0,25;-0,34
20,173;0,70;-0,31;-0,66
20,375;0,10;0,09;-0,62
