time;wx;wy;wz
0,101;-0,03;-0,04;0,01
0,304;0,01;-0,02;0,02
0,506;0,00;-0,03;0,06
0,709;-0,01;-0,02;0,03
0,911;0,02;0,01;0,01
1,113;-0,01;0,03;0,07
1,315;0,01;-0,00;0,02
1,517;-0,02;-0,02;0,01
1,721;0,04;0,00;-0,02
1,927;-0,01;-0,03;0,02
2,123;-0,04;-0,01;0,00
2,325;-0,04;-0,03;0,02
2,527;-0,00;-0,04;-0,04
2,730;-0,01;0,00;0,02
2,932;0,00;-0,01;0,03
3,135;-0,00;-0,01;0,02
3,337;-0,00;-0,00;0,00
3,539;-0,01;-0,01;-0,03
3,743;-0,00;-0,00;-0,00
3,945;-0,03;-0,00;0,02
4,145;-0,04;0,03;0,01
4,346;-0,03;0,02;0,06
4,550;-0,02;0,01;0,06
4,752;-0,03;0,06;-0,03
4,954;0,03;-0,04;0,05
5,156;-0,11;-0,16;0,20
5,358;-0,21;0,02;0,24
5,560;-0,32;-0,00;0,64
5,768;-0,06;-0,01;0,70
5,965;0,38;0,00;0,42
6,167;0,14;0,35;-0,17
6,369;-0,26;-0,48;-0,16
6,571;0,03;-0,08;0,15
6,773;-0,32;0,33;1,01
6,975;-0,08;0,02;0,42
7,178;0,88;0,17;0,29
7,380;-0,06;0,61;-0,31
7,582;-0,04;-0,33;-0,80
7,785;0,32;0,55;0,25
7,986;-0,28;-0,04;0,19
8,191;-0,02;-0,10;-0,25
8,391;-0,21;-0,08;-0,94
8,593;0,87;-0,32;0,19
8,796;-0,44;0,52;0,31
8,999;0,22;0,14;-0,25
9,201;0,73;-0,63;-0,36
9,404;-0,21;-0,29;-0,88
9,607;-0,09;-0,67;-0,50
9,808;-0,35;0,40;0,04
10,010;0,29;-0,27;0,10
10,212;0,51;-0,01;-0,20
10,414;-0,13;-0,53;-0,63
10,616;0,06;-0,27;-0,67
10,819;-0,11;0,66;0,10
11,022;-0,29;0,31;0,63
11,222;0,35;-0,82;-0,67
11,425;-0,34;-0,11;-0,69
11,627;0,22;-0,04;-0,45
11,829;-0,23;0,17;-0,21
12,032;-0,05;0,04;0,01
12,235;0,84;-0,10;0,27
12,436;-0,22;-0,67;-0,30
12,638;-0,01;-0,35;-0,55
12,842;-0,13;0,32;-0,22
13,043;-1,02;0,47;0,30
13,246;0,61;-0,14;-0,04
13,447;0,14;-0,24;-0,54
13,649;0,03;-0,23;-0,81
13,852;0,29;-0,02;-0,64
14,054;-1,06;0,21;0,32
14,256;0,40;-0,23;0,45
14,458;0,16;-0,25;-0,60
14,661;-0,34;0,02;-0,80
14,863;0,51;0,13;-0,58
15,065;-0,58;0,07;0,09
15,267;0,23;-0,49;-0,34
15,469;-0,06;-0,69;-0,42
15,672;0,36;0,40;-0,75
15,873;0,49;0,08;-0,24
16,075;-0,86;0,37;0,07
16,278;0,48;-0,35;0,09
16,480;-0,12;-0,32;-0,32
16,682;0,51;-0,14;-0,69
16,885;1,01;-0,31;-0,44
17,087;-0,99;0,37;0,31
17,290;-0,10;-0,09;0,14
17,492;-0,09;0,28;-0,03
17,694;0,39;-0,02;-0,56
17,896;0,33;-0,07;-0,26
18,097;-1,36;0,07;0,37
18,300;0,51;-0,02;0,21
18,502;0,15;0,13;0,03
18,704;-0,18;0,27;-0,31
18,906;0,51;-0,10;-0,37
19,109;-0,43;0,21;-0,98
19,311;-0,46;-0,63;-0,14
19,513;-0,08;-0,51;0,05
19,715;0,56;0,36;-0,80
19,917;0,98;0,22;-0,91
20,119;0,76;-0,93;-0,15
20,322;-0,56;0,36;-0,46
20,524;-0,66;0,22;0,16
20,727;0,38;0,01;0,08
20,929;0,34;0,04;-0,99
21,131;0,86;-0,45;-0,94
21,335;-0,51;0,17;-0,14
21,536;-0,57;-0,03;0,26
21,738;-0,13;-0,09;0,47
21,941;0,49;0,32;-0,78
22,143;0,48;-0,77;-0,91
22,345;0,43;0,28;-0,81
22,547;-0,13;0,13;0,38
22,749;-0,52;-0,15;0,66
22,952;0,02;-0,05;-0,76
23,154;0,84;-1,01;-0,86
23,356;-0,99;0,08;-0,13
23,558;-0,94;0,42;0,79
23,761;-0,39;0,10;0,00
23,963;1,03;0,85;-0,80
24,165;1,56;-0,17;-0,17
24,368;-0,06;-0,13;-0,07
24,569;-1,50;0,24;0,24
24,772;-0,46;0,12;0,61
24,974;0,94;0,27;-0,65
25,176;2,14;-1,30;-0,40
25,378;-0,06;-0,22;-0,21
25,590;-0,83;-0,08;0,05
25,791;-0,04;-0,28;0,13
25,992;-0,43;-0,17;-0,55
26,193;-0,01;-0,40;-0,75
26,393;-0,09;0,12;-0,27
26,598;-0,16;-0,23;0,08
26,794;0,17;-0,08;0,23
26,996;0,01;0,02;-1,05
27,198;0,22;-0,25;-1,26
27,411;0,02;0,16;-0,35
27,613;-0,52;-0,18;0,52
27,841;0,24;-0,27;0,32
28,022;-0,17;0,02;-0,45
28,213;0,03;-0,03;-1,22
28,418;0,03;0,31;0,16
28,614;-0,27;-0,23;0,35
28,816;0,59;-0,10;0,46
29,018;-0,30;0,14;-0,58
29,221;0,32;-0,03;-1,14
29,427;0,09;0,32;-0,75
29,625;-0,49;-0,12;0,35
29,833;0,42;-0,03;-0,08
30,036;-0,12;-0,27;-1,00
30,235;0,57;0,56;-0,85
30,434;1,33;-0,51;-0,21
30,636;-0,44;0,02;0,24
30,845;-0,19;-0,09;-0,32
31,040;0,20;-0,39;-0,63
31,262;0,04;-0,47;-0,66
31,445;-0,01;-0,23;-0,51
31,646;0,06;-0,05;-0,16
31,849;-0,04;-0,10;-0,01
32,051;-0,05;-0,06;-0,09
32,253;-0,02;-0,09;-0,18
32,456;-0,03;-0,06;-0,16
32,658;-0,01;0,01;-0,02
32,860;0,12;0,05;0,11
33,063;-0,09;-0,07;0,02
33,264;-0,03;-0,05;-0,02
33,467;0,02;-0,06;-0,01
33,669;0,06;0,06;-0,09
33,873;-0,03;-0,02;-0,04
34,075;-0,01;-0,01;-0,07
34,275;-0,02;0,01;-0,04
34,478;-0,01;0,00;0,08
34,680;0,00;-0,00;0,05
34,883;0,01;-0,03;-0,00
35,085;0,03;-0,01;-0,04
35,287;0,00;-0,02;-0,03
35,489;-0,02;0,01;-0,06
35,691;-0,06;0,08;-0,02
35,894;-0,06;0,03;0,15
36,095;0,02;0,06;0,04
36,298;-0,00;0,04;-0,01
36,500;0,05;0,02;-0,04
36,703;-0,02;-0,02;-0,03
