time;ax;ay;az;aT
0,0780;-0,1385;-0,1742;0,1259;0,256
0,2790;0,3998;0,0565;-0,2925;0,499
0,4810;-0,1305;-0,1571;0,4445;0,489
0,6820;0,1750;-0,0637;-0,1326;0,229
0,8830;0,2874;-0,1423;0,3586;0,481
1,0840;0,0820;-0,1407;-0,1578;0,227
1,2860;0,1153;-0,0298;0,0991;0,155
1,4880;-0,0157;0,1739;-0,0031;0,175
1,6900;0,2742;-0,1588;0,3220;0,452
1,8900;-0,0428;-0,4923;0,4833;0,691
2,0920;-2,2120;-0,0025;0,8061;2,354
2,2950;0,2085;0,3716;-0,0070;0,426
2,4970;1,3992;-0,2206;-0,8140;1,634
2,6980;0,2101;0,2302;0,3389;0,460
2,8980;0,2084;-0,0040;0,1859;0,279
3,1000;0,2413;0,0242;0,0459;0,247
3,3000;0,2966;-0,0559;0,1234;0,326
3,5030;0,2670;-0,0395;0,0552;0,275
3,7050;0,4181;0,8440;-0,3566;1,007
3,9060;0,5957;-0,4238;0,9452;1,195
4,1070;-0,3436;-0,3421;-0,3441;0,595
4,3090;0,4893;-0,0750;0,4741;0,685
4,5100;0,1631;-0,1501;-0,4289;0,483
4,7130;0,1627;-0,0818;0,3811;0,422
4,9140;0,0156;-0,3121;0,1111;0,332
5,1140;0,0531;0,2780;-0,5851;0,650
5,3150;0,1714;0,3507;0,1754;0,428
5,5180;-0,1372;0,1610;-0,0704;0,223
5,7180;-0,2704;0,8397;-0,2883;0,928
5,9190;1,8925;1,0958;-0,0960;2,189
6,1200;1,3248;1,4333;-0,3958;1,992
6,3220;0,1640;1,5996;1,2750;2,052
6,5230;-0,6749;-1,2072;3,0826;3,379
6,7260;2,5436;-1,8611;-5,3829;6,238
6,9280;-0,6515;2,9303;3,2119;4,396
7,1290;-1,0785;-3,5507;3,4397;5,060
7,3290;-0,1376;-2,7735;-4,0503;4,911
7,5300;-0,2737;1,5218;1,0856;1,889
7,7320;-1,0923;-0,1456;1,3886;1,773
7,9340;2,0093;1,0918;-2,5097;3,395
8,1350;-0,5962;-1,6054;6,4602;6,683
8,3360;-0,1712;-2,5805;-1,9633;3,247
8,5370;1,6813;-1,6312;-2,9718;3,784
8,7380;-1,4329;0,0729;3,3405;3,636
8,9400;1,3213;0,9589;-2,9617;3,382
9,1410;-0,4360;1,8491;2,0985;2,831
9,3430;-0,0029;-1,9518;3,5093;4,016
9,5440;0,8194;-1,9180;-4,8848;5,311
9,7460;-1,2717;1,1868;2,5712;3,104
