time;ax;ay;az;aT
0,1760;-0,5025;0,1352;-0,0430;0,522
0,3780;-0,1316;-0,1546;0,0881;0,221
0,5780;0,0800;-0,0474;-0,0732;0,118
0,7780;-0,1146;-0,0739;0,0238;0,138
0,9860;-0,0032;-0,0418;-0,0225;0,048
1,1800;-0,0193;-0,0162;0,0215;0,033
1,3830;-0,0070;-0,0427;-0,0014;0,043
1,5830;-0,0063;-0,0067;0,0282;0,030
1,7970;-0,0735;-0,0242;-0,0224;0,081
1,9960;-0,0051;-0,0045;-0,0262;0,027
2,1980;0,0306;-0,0030;0,0570;0,065
2,3980;-0,0231;-0,0042;-0,0697;0,074
2,6010;0,0862;0,0352;0,0017;0,093
2,8010;-0,0648;0,0347;0,0261;0,078
3,0000;-0,0010;-0,0092;-0,0256;0,027
3,2000;0,0105;0,0228;-0,0061;0,026
3,4010;-0,0964;0,0226;0,0500;0,111
3,6000;0,0588;0,0043;-0,0188;0,062
3,7990;0,0107;-0,0274;0,0136;0,032
4,0000;-0,0776;0,0302;-0,0904;0,123
4,2020;0,0630;0,0621;0,0513;0,102
4,4030;0,0275;0,0146;0,0018;0,031
4,6040;-0,0720;-0,0129;-0,0082;0,074
4,8060;0,0025;0,0325;-0,0140;0,035
5,0070;-0,0642;0,0395;-0,0164;0,077
5,2080;0,0421;0,0219;0,0240;0,053
5,4120;0,0153;0,0094;-0,0297;0,035
5,6120;-0,0807;0,0578;0,0118;0,100
5,8130;-0,0716;0,0972;-0,0569;0,133
6,0140;-0,0244;0,0793;0,1181;0,144
6,2160;-0,3791;0,3643;-0,4277;0,678
6,4170;0,1047;1,6036;-0,1976;1,619
6,6180;-0,5451;1,0153;0,0687;1,154
6,8200;-2,8866;1,4387;-0,6688;3,294
7,0210;0,4597;2,0578;3,4578;4,050
7,2230;0,3675;-1,3187;-0,5079;1,460
7,4250;-2,4750;-0,4202;-0,8614;2,654
7,6260;2,4419;0,6543;0,2641;2,542
7,8280;0,9638;-0,5632;-1,0895;1,560
8,0300;-2,9660;0,5967;-0,5231;3,070
8,2300;4,3685;-0,5366;2,7623;5,196
8,4310;0,5704;-0,9219;-2,8646;3,063
8,6330;-0,3777;-0,7453;0,5106;0,979
8,8340;1,7842;0,4309;-0,2528;1,853
9,0360;-1,0244;0,3632;-2,1815;2,437
9,2380;-0,1553;0,3636;-0,3589;0,534
9,4400;1,7281;0,0383;1,6270;2,374
9,6400;-0,5249;-0,9582;-1,2583;1,666
9,8420;-0,1544;0,5982;1,5149;1,636
10,0440;2,2776;-1,1259;-0,6595;2,625
10,2450;-1,7209;0,3934;-1,5950;2,379
10,4470;0,3538;1,7620;0,8701;1,997
10,6470;0,4617;-1,7575;0,0080;1,817
10,8480;-0,4462;-0,1213;0,0982;0,473
11,0510;0,6759;1,7041;0,4385;1,885
11,2510;0,6762;-1,3493;-0,1731;1,519
11,4540;-2,1942;0,3009;-1,9080;2,923
11,6560;1,5354;1,2050;2,2694;2,993
11,8570;1,3253;-1,1340;-0,2746;1,766
12,0580;0,4624;-0,7838;-0,8043;1,214
12,2600;1,3936;0,8320;0,8349;1,825
12,4610;0,3743;-0,0937;-1,5352;1,583
12,6610;0,0512;1,1863;-0,2255;1,209
12,8630;0,7598;-0,2444;2,0285;2,180
13,0640;-1,0743;-1,0685;-1,8227;2,370
13,2660;-1,1551;0,7761;1,9086;2,362
13,4670;1,3555;-0,9516;0,3685;1,697
13,6680;-0,0581;-0,3809;-2,4364;2,467
13,8700;0,2987;1,6535;0,4569;1,741
14,0710;-0,2347;-0,3991;1,8852;1,941
14,2720;-1,9965;-0,9614;-1,1234;2,484
14,4760;-0,4235;0,8758;1,6947;1,954
14,6770;2,3798;-1,0981;0,1464;2,625
14,8770;-1,2724;-0,0511;-2,1548;2,503
15,0800;0,6626;0,8913;0,5695;1,248
15,2800;1,0571;-0,4818;1,0387;1,558
15,4820;-0,6517;-0,1723;-1,5235;1,666
15,6820;-0,7939;1,4662;1,0789;1,986
15,8840;1,7834;-1,2222;-0,7059;2,274
16,0850;-0,5865;0,2745;-2,0686;2,168
16,2870;-0,4202;1,6381;2,2540;2,818
16,4880;-0,4764;-1,1028;0,3331;1,247
16,6900;-0,8634;0,6199;-0,4762;1,165
16,8910;0,7093;0,0379;2,0765;2,195
17,0920;1,4225;-1,6163;-1,9035;2,874
17,2940;-0,3219;0,8421;-1,4507;1,708
17,4950;-0,0459;1,4861;2,6358;3,026
17,6960;-0,6311;-1,1495;-0,7318;1,502
17,8970;-0,0298;0,0720;-0,0587;0,098
18,0990;0,1843;0,5467;1,0987;1,241
18,3010;0,9061;-0,8470;-1,0270;1,610
18,5020;-0,2617;1,1871;-1,3873;1,845
18,7040;-0,1668;-0,2598;3,1438;3,159
18,9060;-2,1458;-0,5119;-2,9490;3,683
19,1070;-0,8328;0,6530;3,8851;4,027
19,3080;1,4714;-0,6178;-1,6412;2,289
19,5090;-0,1327;-0,0917;-2,5030;2,508
19,7100;-0,5245;1,6286;0,9138;1,940
19,9120;1,1029;-0,2147;2,0441;2,333
20,1140;-2,6045;-0,1831;-3,6616;4,497
20,3150;-0,6713;0,7690;3,7704;3,906
20,5170;1,4384;-1,9143;0,2060;2,403
20,7190;-1,1345;0,3129;-1,4501;1,868
20,9200;-0,5575;1,0505;0,1833;1,203
21,1210;0,3251;-0,0944;1,0910;1,142
21,3220;-0,9346;-0,4558;-0,6484;1,225
21,5230;0,2564;1,1546;0,6476;1,348
21,7250;1,1603;-0,9775;-0,0100;1,517
21,9270;-2,8631;0,3837;-2,0503;3,542
22,1280;0,6520;2,4714;2,2868;3,430
22,3300;0,7874;-1,2098;-0,1834;1,455
22,5300;-2,4909;-0,1462;-0,2173;2,505
22,7320;-0,3736;1,9396;0,3439;2,005
22,9330;2,1483;-1,4853;-1,4190;2,972
23,1340;-1,7006;0,6894;-0,8067;2,005
23,3370;1,4419;1,8882;2,5598;3,492
23,5380;-0,2145;-1,7282;-0,7663;1,903
23,7410;-1,0623;0,3795;-0,6296;1,292
23,9410;0,1260;1,2539;1,5257;1,979
24,1440;1,2274;-1,2347;-1,1075;2,063
24,3430;-1,1674;0,4873;-1,5814;2,025
24,5480;-0,7666;2,0855;0,7754;2,353
24,7470;2,0285;-2,7406;3,1611;4,650
24,9470;0,3658;-3,4217;-0,1374;3,444
25,1490;1,0108;-0,4610;-1,1634;1,609
25,3500;-0,4383;-1,1853;1,2315;1,765
25,5520;-0,5375;-1,1503;-0,3127;1,308
25,7540;-1,3717;-2,2876;1,3866;3,006
25,9540;0,8490;-0,7421;0,2701;1,159
26,1560;1,7988;-1,1247;0,3124;2,144
26,3580;1,1183;-0,1310;-0,1575;1,137
26,5610;0,6861;-0,1273;-0,1840;0,722
26,7610;-0,0249;0,1006;-0,3242;0,340
26,9610;0,2135;-0,0570;0,3412;0,407
27,1660;0,1291;-0,0999;0,1504;0,222
27,3640;0,1495;0,0830;-0,0094;0,171
27,5660;-0,1553;-0,1859;0,0555;0,249
27,7700;-0,0834;-0,1021;0,0483;0,140
27,9680;-0,0798;-0,1660;0,0828;0,202
28,1700;-0,1310;-0,1650;-0,0717;0,223
28,3800;-0,0281;-0,1121;-0,0104;0,116
28,5810;0,0808;-0,0365;0,0092;0,089
